tissue,cohort,set_name,n_genes_in_set,n_genes_on_platform,unadjusted_mean_delta,wilcoxon_p,retention_D1,retention_joint,status,exclusion_reason
liver,GSE14520,CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_HYPOMETHYLATED_AND_UP,162,140,0.5598,2.1617766946558208e-33,0.5989,0.7358,included,
liver,GSE14520,CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_UP,891,609,0.4634,3.750304214876909e-33,0.6066,0.593,included,
liver,GSE14520,CARRILLOREIXACH_MRS3_VS_LOWER_RISK_HEPATOBLASTOMA_DN,168,129,-0.2517,1.8761848423080306e-10,2.2569,1.1775,included,
liver,GSE14520,CARRILLOREIXACH_MRS3_VS_LOWER_RISK_HEPATOBLASTOMA_UP,51,38,0.2866,4.351834339450708e-12,1.7861,1.3858,included,
liver,GSE14520,CAVARD_LIVER_CANCER_MALIGNANT_VS_BENIGN,32,28,0.1803,1.2667399068180019e-10,1.8169,2.3451,included,
liver,GSE14520,CHEN_LIVER_METABOLISM_QTL_CIS,95,68,0.1833,6.041778560711383e-13,1.4545,1.5309,included,
liver,GSE14520,CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN,170,138,-0.2899,3.799906603458895e-15,1.4422,0.7116,included,
liver,GSE14520,CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_UP,175,140,-0.2819,1.9129533080206816e-15,0.2476,0.3427,included,
liver,GSE14520,CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_DN,52,31,-0.111,8.516883804922947e-07,0.4413,0.1549,included,
liver,GSE14520,CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_UP,26,24,-0.4021,2.5304845630374474e-20,0.8764,0.3221,included,
liver,GSE14520,CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_DN,25,19,0.5375,2.117418797990172e-26,0.6682,0.7916,included,
liver,GSE14520,CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_UP,79,53,-0.5514,1.7964121166089366e-27,0.5308,0.5997,included,
liver,GSE14520,CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN,179,155,-1.0598,5.515819886542108e-34,0.5234,0.5145,included,
liver,GSE14520,CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP,179,141,0.9447,1.2558901377447894e-35,0.7114,0.7075,included,
liver,GSE14520,CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN,194,157,0.8929,2.5154173943855687e-35,0.9383,0.9556,included,
liver,GSE14520,CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_UP,86,66,-0.6868,1.9842806196462715e-34,0.636,0.5823,included,
liver,GSE14520,DESERT_EXTRACELLULAR_MATRIX_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,22,22,0.2765,4.9330236325384855e-12,0.6948,1.2901,included,
liver,GSE14520,DESERT_PERIPORTAL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,159,158,-1.0397,2.3797226666218932e-35,0.6082,0.5775,included,
liver,GSE14520,DESERT_PERIVENOUS_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,155,155,0.3717,5.733972766901177e-23,1.4209,1.3935,included,
liver,GSE14520,DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,242,235,0.9816,6.428473463269972e-36,0.718,0.7598,included,
liver,GSE14520,FUJIWARA_PARK2_HEPATOCYTE_PROLIFERATION_DN,9,,,,,,excluded,set size 9 outside 15 to 1000
liver,GSE14520,FUJIWARA_PARK2_HEPATOCYTE_PROLIFERATION_UP,11,,,,,,excluded,set size 11 outside 15 to 1000
liver,GSE14520,FUJIWARA_PARK2_IN_LIVER_CANCER_DN,6,,,,,,excluded,set size 6 outside 15 to 1000
liver,GSE14520,FUJIWARA_PARK2_IN_LIVER_CANCER_UP,8,,,,,,excluded,set size 8 outside 15 to 1000
liver,GSE14520,HEBERT_MATRISOME_TNBC_BONE_BRAIN_LIVER_LUNG_METASTASTASES,13,,,,,,excluded,set size 13 outside 15 to 1000
liver,GSE14520,HEBERT_MATRISOME_TNBC_BONE_BRAIN_LUNG_LIVER_METASTASTASES_TUMOR_CELL_DERIVED,7,,,,,,excluded,set size 7 outside 15 to 1000
liver,GSE14520,HEBERT_MATRISOME_TNBC_LIVER_METASTASIS,14,,,,,,excluded,set size 14 outside 15 to 1000
liver,GSE14520,HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_DN,70,70,-0.3736,2.6451306237345498e-33,0.7023,0.8423,included,
liver,GSE14520,HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_UP,62,60,0.1678,7.354828515524546e-09,0.0834,0.9387,included,
