tissue,cohort,set_name,n_genes_in_set,n_genes_on_platform,unadjusted_mean_delta,wilcoxon_p,retention_D1,retention_joint,status,exclusion_reason
lung,TCGA_LUAD,MCDOWELL_ACUTE_LUNG_INJURY_UP,46,46,-0.0773,0.2027994523572637,,,excluded,no unadjusted paired effect (two-sided Wilcoxon P >= 0.05)
lung,TCGA_LUAD,NAKAMURA_ALVEOLAR_EPITHELIUM,5,,,,,,excluded,set size 5 outside 15 to 1000
lung,TCGA_LUAD,NAKAMURA_LUNG_CANCER,9,,,,,,excluded,set size 9 outside 15 to 1000
lung,TCGA_LUAD,NAKAMURA_LUNG_CANCER_DIFFERENTIATION_MARKERS,13,,,,,,excluded,set size 13 outside 15 to 1000
lung,TCGA_LUAD,REN_ALVEOLAR_RHABDOMYOSARCOMA_DN,404,404,-0.0239,0.6450355930199204,,,excluded,no unadjusted paired effect (two-sided Wilcoxon P >= 0.05)
lung,TCGA_LUAD,REN_ALVEOLAR_RHABDOMYOSARCOMA_UP,97,96,-0.3472,5.802247529210362e-07,1.1884,0.8376,included,
lung,TCGA_LUAD,SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A12,319,310,0.1225,0.0013310336840449651,0.3966,1.4242,included,
lung,TCGA_LUAD,SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4,196,195,-0.477,3.569439365376649e-07,0.352,0.448,included,
lung,TCGA_LUAD,SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A5,68,68,-0.1809,0.04790954183315659,0.998,0.4092,included,
lung,TCGA_LUAD,SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6,461,461,0.8666,2.721165565533036e-10,0.1781,0.2849,included,
lung,TCGA_LUAD,SMID_BREAST_CANCER_RELAPSE_IN_LUNG_DN,38,38,-0.3745,5.358061656374043e-08,0.8594,0.6035,included,
lung,TCGA_LUAD,SMID_BREAST_CANCER_RELAPSE_IN_LUNG_UP,22,22,0.4268,3.7270010094407907e-06,0.4386,0.1338,included,
lung,TCGA_LUAD,SPIRA_SMOKERS_LUNG_CANCER_DN,14,,,,,,excluded,set size 14 outside 15 to 1000
lung,TCGA_LUAD,SPIRA_SMOKERS_LUNG_CANCER_UP,39,39,-0.1034,0.06369734688846718,,,excluded,no unadjusted paired effect (two-sided Wilcoxon P >= 0.05)
lung,TCGA_LUAD,STEARMAN_LUNG_CANCER_EARLY_VS_LATE_DN,63,63,-0.1658,0.00031328107926265205,0.3075,0.6627,included,
lung,TCGA_LUAD,STEARMAN_LUNG_CANCER_EARLY_VS_LATE_UP,127,127,-0.1621,0.021698409147981424,2.0887,1.1496,included,
lung,TCGA_LUAD,SWEET_LUNG_CANCER_KRAS_DN,420,420,-0.6499,2.461650131626648e-10,1.0563,0.7461,included,
lung,TCGA_LUAD,SWEET_LUNG_CANCER_KRAS_UP,484,479,0.0706,0.09676695322126239,,,excluded,no unadjusted paired effect (two-sided Wilcoxon P >= 0.05)
lung,TCGA_LUAD,TOMIDA_LUNG_CANCER_POOR_SURVIVAL,5,,,,,,excluded,set size 5 outside 15 to 1000
lung,TCGA_LUAD,TSUDA_ALVEOLAR_SOFT_PART_SARCOMA,10,,,,,,excluded,set size 10 outside 15 to 1000
lung,TCGA_LUAD,WIKMAN_ASBESTOS_LUNG_CANCER_DN,30,30,-0.204,0.008007481496040393,1.1288,0.1235,included,
lung,TCGA_LUAD,WIKMAN_ASBESTOS_LUNG_CANCER_UP,15,15,-0.2862,3.870821421750342e-05,0.8146,0.6123,included,
lung,TCGA_LUAD,YANAGISAWA_LUNG_CANCER_RECURRENCE,9,,,,,,excluded,set size 9 outside 15 to 1000
lung,TCGA_LUAD,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_ENDOTHELIUM,67,67,0.2329,6.363144643046134e-05,0.3237,0.7234,included,
lung,TCGA_LUAD,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,131,130,0.2378,7.989117541711779e-05,0.3979,0.7571,included,
lung,TCGA_LUAD,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_MACROPHAGE,76,75,0.3055,3.7181047247610505e-07,0.642,0.8705,included,
kidney,TCGA_KIRC,ABDULRAHMAN_KIDNEY_CANCER_VHL_DN,13,,,,,,excluded,set size 13 outside 15 to 1000
kidney,TCGA_KIRC,FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_OK_VS_DONOR_DN,24,24,0.345,6.929582416243397e-05,0.6661,0.6916,included,
kidney,TCGA_KIRC,FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP,561,557,0.2021,0.01899200423713992,0.7758,1.4848,included,
kidney,TCGA_KIRC,FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN,552,547,-0.3241,1.0299365403762655e-05,0.058,0.4394,included,
kidney,TCGA_KIRC,FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP,88,88,1.1827,9.086095881838163e-13,0.8095,0.1893,included,
kidney,TCGA_KIRC,FLECHNER_PBL_KIDNEY_TRANSPLANT_OK_VS_DONOR_DN,42,42,0.3594,0.0007598625459485163,0.5022,1.0493,included,
kidney,TCGA_KIRC,FLECHNER_PBL_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP,152,151,0.4868,2.866617952175261e-06,0.6142,0.4665,included,
kidney,TCGA_KIRC,FLECHNER_PBL_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN,51,51,0.4773,2.0595383344029605e-06,0.7839,0.2273,included,
kidney,TCGA_KIRC,FLECHNER_PBL_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP,65,65,0.4265,7.794502508183921e-05,0.5311,0.692,included,
kidney,TCGA_KIRC,LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_DN,164,164,0.6511,4.076602277189357e-09,0.5426,0.2767,included,
kidney,TCGA_KIRC,LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_UP,183,183,-0.0928,0.39056725212988164,,,excluded,no unadjusted paired effect (two-sided Wilcoxon P >= 0.05)
kidney,TCGA_KIRC,LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_DN,48,48,0.124,0.050173595318613776,,,excluded,no unadjusted paired effect (two-sided Wilcoxon P >= 0.05)
kidney,TCGA_KIRC,LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_UP,27,27,0.2988,0.0007295152015337355,0.165,1.7845,included,
kidney,TCGA_KIRC,RODWELL_AGING_KIDNEY_DN,148,143,-0.7099,4.988017141581901e-11,0.8737,0.9069,included,
kidney,TCGA_KIRC,RODWELL_AGING_KIDNEY_NO_BLOOD_DN,148,144,-0.7265,4.625515853946965e-11,0.8481,0.8532,included,
kidney,TCGA_KIRC,RODWELL_AGING_KIDNEY_NO_BLOOD_UP,223,223,0.5655,8.252938896239018e-09,0.6798,0.4002,included,
kidney,TCGA_KIRC,RODWELL_AGING_KIDNEY_UP,500,493,0.9196,4.724850797127551e-12,0.7921,0.0545,included,
kidney,TCGA_KIRC,SU_KIDNEY,15,15,-0.6217,2.2448799291044376e-11,0.0248,0.056,included,
