pool,covariate_mean_paired_shift,median_retention,n_below_50
matched,-0.7513,0.7241,48
matched,-0.6743,0.7732,41
matched,-0.7124,0.6971,44
matched,-0.7535,0.7355,43
matched,-0.7444,0.695,48
matched,-0.7438,0.6961,47
matched,-0.68,0.7508,44
matched,-0.6984,0.7034,44
matched,-0.7906,0.7368,46
matched,-0.7742,0.7072,45
matched,-0.6688,0.7244,40
matched,-0.7083,0.6768,46
matched,-0.7549,0.6859,47
matched,-0.7235,0.7085,47
matched,-0.715,0.7673,46
matched,-0.6572,0.6387,47
matched,-0.7567,0.6812,47
matched,-0.7395,0.6896,44
matched,-0.7753,0.6923,49
matched,-0.6998,0.7067,45
matched,-0.7385,0.6989,48
matched,-0.6432,0.7249,29
matched,-0.7226,0.7097,36
matched,-0.7271,0.6802,48
matched,-0.733,0.7289,36
no_shift,-0.0022,1.0304,4
no_shift,-0.0012,1.0331,3
no_shift,-0.0051,1.0391,4
no_shift,-0.0072,1.0412,4
no_shift,0.0009,1.027,4
no_shift,0.0048,1.0331,4
no_shift,-0.0128,1.0481,4
no_shift,-0.0015,1.0255,4
no_shift,-0.0066,1.034,4
no_shift,0.0094,1.0329,4
no_shift,-0.0011,1.0402,4
no_shift,0.0032,1.036,4
no_shift,-0.0051,1.0349,4
no_shift,0.0078,1.0303,4
no_shift,-0.0014,1.0197,3
no_shift,-0.0135,1.0414,4
no_shift,-0.0055,1.0359,4
no_shift,0.0107,1.0321,4
no_shift,-0.0084,1.032,4
no_shift,-0.0047,1.0391,4
no_shift,-0.0095,1.026,4
no_shift,-0.0083,1.033,4
no_shift,0.0108,1.0361,4
no_shift,-0.0069,1.0302,4
no_shift,-0.0051,1.0319,4
no_shift,0.0043,1.0319,4
no_shift,0.0022,1.034,4
no_shift,-0.0066,1.0327,4
no_shift,-0.0111,1.0326,4
no_shift,-0.0032,1.0308,4
no_shift,-0.0059,1.0316,4
no_shift,0.0005,1.0317,4
no_shift,-0.0012,1.04,4
no_shift,-0.0075,1.0381,4
no_shift,-0.0042,1.0344,4
no_shift,-0.0057,1.0313,4
no_shift,-0.0093,1.0303,4
no_shift,-0.0048,1.0413,4
no_shift,-0.0131,1.0413,4
no_shift,0.0013,1.0412,4
no_shift,0.007,1.0317,4
no_shift,-0.0027,1.041,4
no_shift,-0.0098,1.0444,4
no_shift,-0.0043,1.0384,4
no_shift,-0.0041,1.0342,4
no_shift,0.0037,1.0334,4
no_shift,0.0061,1.0326,4
no_shift,0.0003,1.031,4
no_shift,-0.0056,1.0319,4
no_shift,-0.0031,1.032,4
no_shift,-0.0117,1.0373,4
no_shift,0.0014,1.0366,4
no_shift,-0.0031,1.0376,4
no_shift,0.0024,1.0319,4
no_shift,-0.0029,1.038,4
no_shift,-0.0083,1.0334,4
no_shift,0.0003,1.0336,4
no_shift,0.0008,1.0308,4
no_shift,0.0065,1.0344,4
no_shift,-0.0177,1.0319,4
no_shift,0.0096,1.0363,4
no_shift,-0.0124,1.0383,4
no_shift,0.0044,1.0308,4
no_shift,-0.0054,1.0312,4
no_shift,0.0086,1.0328,4
no_shift,-0.0035,1.0435,4
no_shift,-0.0202,1.0456,4
no_shift,0.002,1.031,4
no_shift,-0.0046,1.0302,4
no_shift,-0.0101,1.0427,4
no_shift,-0.0003,1.0308,4
no_shift,-0.0087,1.0335,4
no_shift,0.0035,1.0335,4
no_shift,-0.0018,1.0315,4
no_shift,0.0003,1.0384,4
no_shift,-0.0026,1.0324,4
no_shift,-0.0003,1.0303,4
no_shift,-0.0037,1.0338,4
no_shift,0.0029,1.038,4
no_shift,-0.0023,1.0314,4
no_shift,-0.0074,1.0383,4
no_shift,-0.006,1.0306,4
no_shift,-0.0038,1.0361,4
no_shift,-0.0061,1.0317,4
no_shift,-0.0149,1.0301,4
no_shift,-0.0039,1.0303,4
no_shift,0.0144,1.0307,3
no_shift,-0.0139,1.0289,4
no_shift,-0.0027,1.0364,4
no_shift,0.0116,1.0355,4
no_shift,0.001,1.0324,4
no_shift,0.0024,1.0291,4
no_shift,-0.0019,1.0385,4
no_shift,0.0106,1.0273,4
no_shift,0.0001,1.0324,4
no_shift,-0.0009,1.032,4
no_shift,-0.0027,1.025,3
no_shift,0.001,1.0288,4
no_shift,-0.0007,1.034,4
no_shift,0.0009,1.0329,4
rising,0.9924,0.5299,55
rising,0.7591,0.5347,55
rising,0.9596,0.579,53
rising,0.8555,0.7344,47
rising,0.8377,0.6667,49
rising,0.7807,0.5335,54
rising,0.887,0.684,49
rising,0.8949,0.4853,60
rising,0.8669,0.5992,53
rising,0.8537,0.5586,55
rising,0.8572,0.666,52
rising,0.9303,0.487,67
