signature,n_genes,n_on_platform,unadjusted_mean_delta,wilcoxon_p,retention_identity_D1,retention_composition_C1,retention_joint,below50_identity,below50_composition,switches_side,joint_intercept,sign_reverses,ratio_unstable
ACEVEDO_LIVER_CANCER_DN,540,433,-0.5882,7.44e-34,0.6618,1.0202,0.6312,0,0,0,-0.3713,0,0
ACEVEDO_LIVER_CANCER_UP,972,779,0.6297,2.87e-34,0.963,1.0292,1.0305,0,0,0,+0.6489,0,0
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN,222,127,0.0312,0.00424,1.149,0.857,0.8152,0,0,0,+0.0254,0,0
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP,290,197,-0.13,4.21e-11,2.054,0.8144,1.8271,0,0,0,-0.2376,0,0
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN,119,77,0.3137,3.07e-32,0.8533,0.978,0.7593,0,0,0,+0.2382,0,0
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP,137,80,-0.1289,1.54e-11,1.5587,1.0187,1.7457,0,0,0,-0.2250,0,0
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN,274,231,-0.74,1.61e-35,0.8105,0.9979,0.7579,0,0,0,-0.5608,0,0
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP,863,684,0.7844,1.75e-35,0.9896,1.0067,1.0045,0,0,0,+0.7879,0,0
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN,876,506,-0.1397,9.85e-20,1.4147,0.9651,1.4269,0,0,0,-0.1993,0,0
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN,354,286,-0.0432,0.0433,2.5222,1.48,2.1331,0,0,0,+0.0921,1,1
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP,173,143,0.1886,6.29e-25,1.2423,1.0774,1.5064,0,0,0,+0.2841,0,0
ANDERSEN_LIVER_CANCER_KRT19_DN,75,64,-0.8406,1.2e-32,0.4412,1.0452,0.4216,1,0,1,-0.3544,0,0
ANDERSEN_LIVER_CANCER_KRT19_UP,35,30,0.8311,1.42e-33,0.704,1.0581,0.7836,0,0,0,+0.6512,0,0
BORLAK_LIVER_CANCER_EGF_UP,54,52,0.2251,2.83e-15,0.4558,1.2404,0.953,1,0,1,+0.2145,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN,51,51,-1.2683,5.23e-35,0.6614,1.0242,0.6413,0,0,0,-0.8134,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G123_UP,47,43,1.3783,2.81e-36,0.9015,1.0014,0.8807,0,0,0,+1.2139,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G12_DN,15,14,-1.1115,1.31e-33,0.6267,1.0411,0.6422,0,0,0,-0.7138,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G12_UP,39,38,1.0202,4.95e-35,1.0312,0.9923,1.0185,0,0,0,+1.0391,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G1_DN,38,37,-0.6103,1.38e-23,0.6408,1.0146,0.5904,0,0,0,-0.3603,0,0
