signature,n_genes,n_on_platform,unadjusted_mean_delta,wilcoxon_p,retention_identity_D1,retention_composition_C1,retention_joint,below50_identity,below50_composition,switches_side,joint_intercept,sign_reverses,ratio_unstable
BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP,116,112,0.7349,1.53e-34,0.8418,1.0251,0.8685,0,0,0,+0.6382,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G2,28,28,0.7167,8.14e-35,0.9359,0.9946,0.9056,0,0,0,+0.6490,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP,53,52,1.1924,1.39e-36,0.8847,0.9927,0.837,0,0,0,+0.9981,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G3_DN,52,51,-0.8871,1.35e-33,0.4783,1.0256,0.4165,1,0,1,-0.3695,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP,189,182,1.1102,1.79e-36,0.8674,1.006,0.8503,0,0,0,+0.9440,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G56_DN,17,17,-0.3387,8.71e-13,1.356,0.8051,0.9321,0,0,0,-0.3157,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G5_DN,28,26,-0.1338,0.0163,3.681,0.2855,0.9647,0,1,1,-0.1291,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G6_DN,19,19,-0.3108,5.39e-16,0.8729,0.9549,0.7229,0,0,0,-0.2247,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G6_UP,66,64,0.3443,1.19e-16,1.4353,0.9238,1.3426,0,0,0,+0.4623,0,0
CAIRO_HEPATOBLASTOMA_CLASSES_DN,214,211,-0.6136,3.7e-33,0.7792,0.9452,0.5803,0,0,0,-0.3561,0,0
CAIRO_HEPATOBLASTOMA_CLASSES_UP,609,585,0.9262,2.15e-36,0.887,0.9928,0.8403,0,0,0,+0.7783,0,0
CAIRO_HEPATOBLASTOMA_DN,267,261,-1.1252,4.22e-36,0.7188,1.0111,0.6784,0,0,0,-0.7633,0,0
CAIRO_HEPATOBLASTOMA_POOR_SURVIVAL,16,16,-0.1198,4.66e-08,0.5592,1.1852,0.4591,0,0,0,+0.0550,1,0
CAIRO_HEPATOBLASTOMA_UP,213,202,0.9178,5.99e-36,0.8893,1.0165,0.9054,0,0,0,+0.8310,0,0
CAIRO_LIVER_DEVELOPMENT_DN,225,220,-0.4971,5.98e-34,0.3908,1.0307,0.321,1,0,1,-0.1596,0,0
CAIRO_LIVER_DEVELOPMENT_UP,166,166,0.1183,2.64e-11,0.312,1.3063,0.1699,1,0,1,+0.0201,0,0
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_HYPERMETHYLATED_AND_DN,21,15,-0.8432,3.66e-35,0.7209,1.0147,0.6903,0,0,0,-0.5821,0,0
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_HYPOMETHYLATED_AND_UP,162,140,0.5598,2.16e-33,0.5989,1.0898,0.7358,0,0,0,+0.4119,0,0
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_UP,891,609,0.4634,3.75e-33,0.6066,1.0319,0.593,0,0,0,+0.2748,0,0
CARRILLOREIXACH_MRS3_VS_LOWER_RISK_HEPATOBLASTOMA_DN,168,129,-0.2517,1.88e-10,2.2569,0.4712,1.1775,0,1,1,-0.2964,0,0
CARRILLOREIXACH_MRS3_VS_LOWER_RISK_HEPATOBLASTOMA_UP,51,38,0.2866,4.35e-12,1.7861,0.774,1.3858,0,0,0,+0.3971,0,0
CAVARD_LIVER_CANCER_MALIGNANT_VS_BENIGN,32,28,0.1803,1.27e-10,1.8169,1.124,2.3451,0,0,0,+0.4227,0,0
CHEN_LIVER_METABOLISM_QTL_CIS,95,68,0.1833,6.04e-13,1.4545,0.9864,1.5309,0,0,0,+0.2806,0,0
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN,170,138,-0.2899,3.8e-15,1.4422,0.6806,0.7116,0,0,0,-0.2063,0,0
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_UP,175,140,-0.2819,1.91e-15,0.2476,1.1068,0.3427,1,0,1,-0.0966,0,0
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_DN,52,31,-0.111,8.52e-07,0.4413,1.3626,0.1549,1,0,1,-0.0172,0,0
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_UP,26,24,-0.4021,2.53e-20,0.8764,0.8008,0.3221,0,0,0,-0.1295,0,0
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_DN,25,19,0.5375,2.12e-26,0.6682,1.0782,0.7916,0,0,0,+0.4255,0,0
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_UP,79,53,-0.5514,1.8e-27,0.5308,1.0703,0.5997,0,0,0,-0.3307,0,0
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN,179,155,-1.0598,5.52e-34,0.5234,1.0415,0.5145,0,0,0,-0.5452,0,0
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP,179,141,0.9447,1.26e-35,0.7114,1.0256,0.7075,0,0,0,+0.6684,0,0
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN,194,157,0.8929,2.52e-35,0.9383,1.0124,0.9556,0,0,0,+0.8533,0,0
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_UP,86,66,-0.6868,1.98e-34,0.636,1.0139,0.5823,0,0,0,-0.3999,0,0
DESERT_EXTRACELLULAR_MATRIX_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,22,22,0.2765,4.93e-12,0.6948,1.255,1.2901,0,0,0,+0.3567,0,0
DESERT_PERIPORTAL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,159,158,-1.0397,2.38e-35,0.6082,1.0252,0.5775,0,0,0,-0.6004,0,0
DESERT_PERIVENOUS_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,155,155,0.3717,5.73e-23,1.4209,0.9501,1.3935,0,0,0,+0.5179,0,0
DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,242,235,0.9816,6.43e-36,0.718,1.0424,0.7598,0,0,0,+0.7458,0,0
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_DN,70,70,-0.3736,2.65e-33,0.7023,1.0813,0.8423,0,0,0,-0.3147,0,0
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_UP,62,60,0.1678,7.35e-09,0.0834,1.4906,0.9387,1,0,1,+0.1575,0,0
HOSHIDA_LIVER_CANCER_SUBCLASS_S1,235,232,0.2219,5.28e-08,0.3988,1.5572,0.7196,1,0,1,+0.1597,0,0
HOSHIDA_LIVER_CANCER_SUBCLASS_S2,115,112,0.6457,1.18e-32,1.0618,0.9704,0.9993,0,0,0,+0.6453,0,0
HOSHIDA_LIVER_CANCER_SUBCLASS_S3,266,256,-0.7596,5.1e-33,0.4503,1.0379,0.4139,1,0,1,-0.3144,0,0
HOSHIDA_LIVER_CANCER_SURVIVAL_DN,113,112,-0.2932,1.97e-26,0.2562,1.0861,0.2981,1,0,1,-0.0874,0,0
HOSHIDA_LIVER_CANCER_SURVIVAL_UP,73,72,0.0929,0.00156,1.172,1.9211,0.7114,0,0,0,+0.0661,0,0
HSIAO_LIVER_SPECIFIC_GENES,247,238,-0.8383,7.24e-34,0.3451,1.0517,0.3187,1,0,1,-0.2672,0,0
IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_DN,25,25,0.7124,2.65e-33,0.9641,1.0211,1.0108,0,0,0,+0.7201,0,0
IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_UP,27,27,-0.4565,2.25e-21,0.005,1.095,0.0042,1,0,1,+0.0019,1,0
IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1_DN,17,17,0.2278,6.63e-07,0.0294,1.4684,1.0206,1,0,1,+0.2325,0,0
IIZUKA_LIVER_CANCER_PROGRESSION_L1_G1_UP,20,20,-1.0137,9.64e-36,0.85,0.9888,0.7833,0,0,0,-0.7941,0,0
KAPOSI_LIVER_CANCER_MET_UP,18,17,0.7532,5.22e-34,0.6057,1.0761,0.708,0,0,0,+0.5333,0,0
KIM_LIVER_CANCER_POOR_SURVIVAL_DN,43,43,-0.8086,1.38e-31,0.2266,1.0852,0.259,1,0,1,-0.2094,0,0
KIM_LIVER_CANCER_POOR_SURVIVAL_UP,22,21,0.3916,6.23e-12,0.0707,1.281,0.4032,1,0,1,+0.1579,0,0
LEE_LIVER_CANCER_ACOX1_DN,65,64,-0.6232,1.3e-34,0.4835,1.0451,0.4742,1,0,1,-0.2955,0,0
LEE_LIVER_CANCER_CIPROFIBRATE_DN,66,65,-0.5022,4.81e-34,0.4606,1.0656,0.4994,1,0,1,-0.2508,0,0
LEE_LIVER_CANCER_CIPROFIBRATE_UP,60,57,-0.0557,0.000109,0.873,0.5784,0.2658,0,0,0,+0.0148,1,0
LEE_LIVER_CANCER_DENA_DN,74,73,-0.6636,5.61e-35,0.5189,1.0615,0.5617,0,0,0,-0.3727,0,0
LEE_LIVER_CANCER_DENA_UP,60,59,0.2546,5.16e-18,0.3409,1.2794,0.9126,1,0,1,+0.2324,0,0
LEE_LIVER_CANCER_E2F1_DN,64,62,-0.4814,5.57e-32,0.4254,1.0555,0.4287,1,0,1,-0.2064,0,0
LEE_LIVER_CANCER_E2F1_UP,63,62,0.1591,3.54e-11,0.5618,1.3422,1.3529,0,0,0,+0.2153,0,0
LEE_LIVER_CANCER_HEPATOBLAST,16,16,-0.2308,1.78e-07,2.5945,0.4273,1.4834,0,1,1,-0.3423,0,0
LEE_LIVER_CANCER_MYC_DN,63,59,-0.4278,7.52e-33,0.4816,1.0202,0.4061,1,0,1,-0.1737,0,0
LEE_LIVER_CANCER_MYC_E2F1_DN,64,63,-0.6441,2.64e-34,0.5045,1.0445,0.4988,0,0,0,-0.3213,0,0
LEE_LIVER_CANCER_MYC_E2F1_UP,56,55,0.3262,4.97e-27,0.7082,1.1748,1.0954,0,0,0,+0.3573,0,0
LEE_LIVER_CANCER_MYC_TGFA_DN,65,64,-0.5813,3.9e-33,0.4865,1.0455,0.4792,1,0,1,-0.2786,0,0
LEE_LIVER_CANCER_MYC_TGFA_UP,61,59,0.1142,3.2e-10,0.2443,1.2843,0.8045,1,0,1,+0.0919,0,0
LEE_LIVER_CANCER_MYC_UP,54,54,0.3148,8.49e-30,0.9606,1.0502,1.0829,0,0,0,+0.3409,0,0
LEE_LIVER_CANCER_SURVIVAL_DN,180,151,0.8898,9.5e-36,0.7272,1.0465,0.7819,0,0,0,+0.6957,0,0
LEE_LIVER_CANCER_SURVIVAL_UP,187,159,-0.7202,6.18e-32,0.3626,1.0699,0.3882,1,0,1,-0.2796,0,0
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_DN,516,450,0.221,6.18e-30,0.9186,1.0662,1.0734,0,0,0,+0.2372,0,0
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_UP,239,176,0.1533,3.74e-26,0.5403,1.091,0.6656,0,0,0,+0.1020,0,0
MIDORIKAWA_AMPLIFIED_IN_LIVER_CANCER,55,36,0.2792,5.56e-28,0.7975,1.0597,0.9046,0,0,0,+0.2526,0,0
MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN,21,18,-1.1282,2.04e-34,0.5814,1.013,0.5118,0,0,0,-0.5774,0,0
NABA_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,30,26,-0.0943,0.00301,3.1549,0.0637,0.8911,0,1,1,-0.0840,0,0
OHGUCHI_LIVER_HNF4A_TARGETS_DN,170,126,-0.684,2.31e-34,0.4664,1.0536,0.4753,1,0,1,-0.3251,0,0
OHGUCHI_LIVER_HNF4A_TARGETS_UP,50,40,-0.4195,4.95e-34,0.7893,0.9731,0.6665,0,0,0,-0.2796,0,0
PATIL_LIVER_CANCER,660,550,0.9262,1.47e-36,0.9195,0.9974,0.8926,0,0,0,+0.8267,0,0
ROESSLER_LIVER_CANCER_METASTASIS_DN,51,42,0.3329,2.06e-30,0.7335,1.0687,0.8479,0,0,0,+0.2823,0,0
ROESSLER_LIVER_CANCER_METASTASIS_UP,106,104,0.0559,2.69e-06,0.1307,1.0631,0.247,1,0,1,-0.0138,1,0
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_DN,36,33,-0.2568,1.8e-23,1.2053,0.9673,1.1706,0,0,0,-0.3006,0,0
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_UP,82,78,0.4979,4.46e-33,0.919,1.0511,1.0332,0,0,0,+0.5145,0,0
SERVITJA_LIVER_HNF1A_TARGETS_DN,164,137,-0.4761,1.01e-34,0.5616,1.0298,0.5312,0,0,0,-0.2529,0,0
SERVITJA_LIVER_HNF1A_TARGETS_UP,138,111,0.1775,3.1e-26,0.9625,0.9991,0.9512,0,0,0,+0.1688,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1,260,206,0.3175,4.62e-34,0.7017,1.0561,0.7751,0,0,0,+0.2461,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2,168,139,0.2649,2.61e-31,0.6739,1.0945,0.8412,0,0,0,+0.2228,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3,75,65,0.2273,4.49e-25,0.6767,1.1219,0.9178,0,0,0,+0.2086,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM4,288,240,-0.4215,1.43e-34,0.6565,1.0088,0.5948,0,0,0,-0.2507,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM6,55,45,0.1038,1.24e-11,0.6466,1.0263,0.6264,0,0,0,+0.0650,0,0
SMITH_LIVER_CANCER,47,46,0.7102,2.27e-32,1.2374,0.9491,1.1624,0,0,0,+0.8255,0,0
SU_LIVER,58,57,-0.9451,2.5e-34,0.4513,1.0453,0.4346,1,0,1,-0.4107,0,0
VILLANUEVA_LIVER_CANCER_KRT19_DN,63,51,-0.7729,1.55e-31,0.518,1.0509,0.5325,0,0,0,-0.4116,0,0
VILLANUEVA_LIVER_CANCER_KRT19_UP,175,138,0.777,1.24e-35,0.7661,1.0036,0.7175,0,0,0,+0.5575,0,0
WANG_RECURRENT_LIVER_CANCER_DN,16,14,-0.5923,2.26e-27,0.3571,1.0268,0.2681,1,0,1,-0.1588,0,0
WANG_RECURRENT_LIVER_CANCER_UP,20,18,0.6991,4.5e-34,0.9044,1.0051,0.8942,0,0,0,+0.6252,0,0
WENG_POR_TARGETS_LIVER_DN,23,21,-0.6226,2.38e-33,0.6279,1.0347,0.627,0,0,0,-0.3904,0,0
WOO_LIVER_CANCER_RECURRENCE_DN,78,78,-0.9234,2.13e-33,0.4293,1.0623,0.4517,1,0,1,-0.4171,0,0
WOO_LIVER_CANCER_RECURRENCE_UP,105,103,0.1949,4.13e-05,1.0328,1.6075,0.0611,0,0,0,+0.0119,0,0
YAMASHITA_LIVER_CANCER_STEM_CELL_DN,76,71,-0.6838,3.38e-34,0.4763,1.0291,0.4232,1,0,1,-0.2894,0,0
YAMASHITA_LIVER_CANCER_STEM_CELL_UP,47,45,0.1662,2.71e-15,0.5717,1.1242,0.7926,0,0,0,+0.1317,0,0
YAMASHITA_LIVER_CANCER_WITH_EPCAM_DN,17,12,-0.5792,1.46e-26,0.163,1.0904,0.1936,1,0,1,-0.1121,0,0
YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP,53,51,0.7662,6.07e-34,0.8206,1.0234,0.8378,0,0,0,+0.6419,0,0
