signature,n_genes_on_platform,unadjusted_mean_delta,retention_joint_D1,retention_joint_quadratic,retention_random_matched_median,retention_random_matched_p2_5,retention_random_matched_p97_5
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN,155,-1.0598,0.5145,0.456,0.3602,0.2757,0.4656
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP,141,0.9447,0.7075,0.6498,0.5695,0.5005,0.6547
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN,157,0.8929,0.9556,0.9483,1.1075,1.0254,1.1748
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_UP,66,-0.6868,0.5823,0.5422,0.4361,0.3345,0.5362
DESERT_EXTRACELLULAR_MATRIX_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,22,0.2765,1.2901,1.2124,1.3931,1.2035,1.6308
DESERT_PERIPORTAL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,158,-1.0397,0.5774,0.5334,0.4697,0.3962,0.556
DESERT_PERIVENOUS_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,155,0.3717,1.3935,1.4507,1.7956,1.6377,1.9518
DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,235,0.9816,0.7598,0.7095,0.69,0.6306,0.7734
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_DN,70,-0.3736,0.8423,0.789,0.7747,0.7098,0.8349
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_UP,60,0.1678,0.9385,0.9606,1.1461,1.0034,1.3058
HOSHIDA_LIVER_CANCER_SUBCLASS_S1,232,0.2219,0.7197,0.6714,0.9284,0.7353,1.1173
HOSHIDA_LIVER_CANCER_SUBCLASS_S2,112,0.6457,0.9993,0.9546,1.0217,0.9388,1.1575
HOSHIDA_LIVER_CANCER_SUBCLASS_S3,256,-0.7596,0.4139,0.3503,0.1969,0.0977,0.3172
HOSHIDA_LIVER_CANCER_SURVIVAL_DN,112,-0.2932,0.2981,0.2063,0.0798,0.0036,0.2422
HOSHIDA_LIVER_CANCER_SURVIVAL_UP,72,0.0929,0.7117,0.5848,0.5271,0.2639,0.7824
HSIAO_LIVER_SPECIFIC_GENES,238,-0.8383,0.3188,0.278,0.2242,0.1127,0.3546
IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_DN,25,0.7124,1.0108,0.9882,1.1853,1.1003,1.2932
IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_UP,27,-0.4565,0.0041,0.0801,0.4085,0.1966,0.5868
IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1_DN,17,0.2278,1.0206,1.1707,2.2049,1.8337,2.5553
IIZUKA_LIVER_CANCER_PROGRESSION_L1_G1_UP,20,-1.0137,0.7833,0.7519,0.6497,0.5767,0.7052
KAPOSI_LIVER_CANCER_MET_UP,17,0.7532,0.708,0.6663,0.7412,0.6613,0.8236
KIM_LIVER_CANCER_POOR_SURVIVAL_DN,43,-0.8086,0.259,0.2041,0.1303,0.0145,0.2871
KIM_LIVER_CANCER_POOR_SURVIVAL_UP,21,0.3916,0.4033,0.3356,0.4658,0.2703,0.6684
LEE_LIVER_CANCER_ACOX1_DN,64,-0.6232,0.4741,0.4254,0.3968,0.3041,0.5101
LEE_LIVER_CANCER_CIPROFIBRATE_DN,65,-0.5022,0.4994,0.4576,0.4396,0.3396,0.5495
LEE_LIVER_CANCER_CIPROFIBRATE_UP,57,-0.0557,0.2662,0.5446,1.0734,0.7576,1.4471
LEE_LIVER_CANCER_DENA_DN,73,-0.6636,0.5617,0.5113,0.5011,0.4126,0.6034
LEE_LIVER_CANCER_DENA_UP,59,0.2546,0.9128,0.902,0.9353,0.8458,1.0243
LEE_LIVER_CANCER_E2F1_DN,62,-0.4814,0.4288,0.375,0.2177,0.1279,0.3458
