signature,n_genes,n_on_platform,unadjusted_mean_delta,wilcoxon_p,retention_identity_D1,retention_composition_C1,retention_joint,below50_identity,below50_composition,switches_side,joint_intercept,sign_reverses,ratio_unstable
CHEN_LIVER_METABOLISM_QTL_CIS,95,91,0.1388,0.000917,1.1006,0.5388,0.5027,0,0,0,+0.0698,0,0
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN,170,167,-0.3755,1.01e-06,1.091,0.4922,0.428,0,1,1,-0.1607,0,0
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_UP,175,171,-0.2067,0.00805,0.4673,1.1798,0.578,1,0,1,-0.1195,0,0
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_UP,26,26,-0.4179,9.17e-07,0.9558,0.5265,0.3056,0,0,0,-0.1277,0,0
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_DN,25,24,0.1333,0.0379,0.2812,1.9529,0.6877,1,0,1,+0.0917,0,0
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_UP,79,77,-0.5183,2.25e-08,0.5418,1.216,0.7199,0,0,0,-0.3731,0,0
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN,179,178,-0.7961,8.18e-09,0.4694,1.1302,0.5137,1,0,1,-0.4089,0,0
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP,179,174,0.584,5.22e-07,0.5577,1.1124,0.6,0,0,0,+0.3504,0,0
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN,194,189,0.6955,1.64e-08,0.8139,0.9698,0.7269,0,0,0,+0.5056,0,0
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_UP,86,84,-0.5363,2.02e-08,0.6768,1.0643,0.6835,0,0,0,-0.3666,0,0
DESERT_PERIPORTAL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,159,159,-0.8608,5.02e-09,0.6191,1.0903,0.6467,0,0,0,-0.5567,0,0
