signature,n_genes,unadjusted_mean_delta,retention_identity_D1,retention_composition_C1,retention_joint,ci95_lo,ci95_hi,joint_intercept,sign_reverses,ratio_unstable
DESERT_PERIVENOUS_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,155,0.7093,1.0923,0.9869,1.0907,0.979,1.2136,+0.7736,0,0
DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,242,1.015,0.8805,0.874,0.8764,0.7404,1.037,+0.8896,0,0
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_DN,70,0.1553,1.1579,0.7902,1.147,0.7641,2.3434,+0.1781,0,0
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_UP,62,0.5383,0.6855,0.6857,0.6755,0.453,1.049,+0.3636,0,0
HOSHIDA_LIVER_CANCER_SUBCLASS_S1,235,0.6236,0.6087,0.6557,0.5983,0.4111,0.9285,+0.3731,0,0
HOSHIDA_LIVER_CANCER_SUBCLASS_S2,115,0.9047,1.0273,0.9433,1.0245,0.8804,1.1916,+0.9269,0,0
HOSHIDA_LIVER_CANCER_SUBCLASS_S3,266,-0.1929,0.1794,0.7714,0.1757,0.0097,1.9002,+0.0339,1,0
HOSHIDA_LIVER_CANCER_SURVIVAL_DN,113,0.2112,1.6116,0.9955,1.6045,1.2701,2.9356,+0.3388,0,0
HOSHIDA_LIVER_CANCER_SURVIVAL_UP,73,0.4674,0.6299,0.6316,0.6184,0.3991,1.0333,+0.2890,0,0
HSIAO_LIVER_SPECIFIC_GENES,247,-0.4877,0.2483,0.8083,0.2487,0.1235,0.3519,-0.1213,0,0
IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_DN,25,0.9946,0.9889,0.9212,0.9856,0.8564,1.1488,+0.9803,0,0
IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1_DN,17,0.8169,0.7193,0.7882,0.7134,0.5632,0.926,+0.5828,0,0
IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1_UP,15,0.6129,0.9874,0.9071,0.9835,0.8194,1.2434,+0.6028,0,0
IIZUKA_LIVER_CANCER_PROGRESSION_L1_G1_UP,20,-0.6027,0.8785,1.0351,0.8813,0.7033,1.0085,-0.5312,0,0
KAPOSI_LIVER_CANCER_MET_UP,18,1.0677,0.8014,0.8473,0.7971,0.6469,0.987,+0.8511,0,0
KIM_LIVER_CANCER_POOR_SURVIVAL_DN,43,-0.3481,0.1641,0.6332,0.1664,0.0074,1.1068,+0.0579,1,0
KIM_LIVER_CANCER_POOR_SURVIVAL_UP,22,0.5133,0.4997,0.6098,0.4886,0.1728,0.9043,+0.2508,0,0
LEE_LIVER_CANCER_ACOX1_UP,65,0.3447,0.802,0.7493,0.7933,0.5752,1.089,+0.2735,0,0
LEE_LIVER_CANCER_CIPROFIBRATE_UP,60,0.2319,0.9343,0.7433,0.924,0.6514,1.4206,+0.2143,0,0
LEE_LIVER_CANCER_DENA_DN,74,-0.1866,0.0584,0.7396,0.0573,0.0098,1.2539,+0.0107,1,0
LEE_LIVER_CANCER_DENA_UP,60,0.5197,0.7589,0.7506,0.7508,0.5698,1.0092,+0.3902,0,0
LEE_LIVER_CANCER_E2F1_UP,63,0.4447,0.895,0.7961,0.8874,0.7137,1.1524,+0.3946,0,0
LEE_LIVER_CANCER_MYC_E2F1_DN,64,-0.2083,0.0144,0.7908,0.0115,0.0055,0.8034,+0.0024,1,0
LEE_LIVER_CANCER_MYC_E2F1_UP,56,0.5153,0.8783,0.8103,0.8715,0.7089,1.1055,+0.4491,0,0
LEE_LIVER_CANCER_MYC_TGFA_DN,65,-0.147,0.3171,0.7709,0.3116,0.0179,2.8683,+0.0458,1,0
LEE_LIVER_CANCER_MYC_TGFA_UP,61,0.4057,0.8523,0.7803,0.8444,0.6161,1.1699,+0.3426,0,0
LEE_LIVER_CANCER_MYC_UP,54,0.525,0.9902,0.886,0.9854,0.817,1.2091,+0.5173,0,0
LEE_LIVER_CANCER_SURVIVAL_DN,180,1.0053,0.8857,0.8781,0.8817,0.7255,1.063,+0.8864,0,0
LIU_LIVER_CANCER,35,0.5413,0.9456,0.8746,0.9408,0.8115,1.1357,+0.5092,0,0
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_DN,516,0.6711,0.9411,0.8653,0.9361,0.7764,1.1938,+0.6282,0,0
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_UP,239,0.6726,0.8795,0.867,0.8752,0.738,1.0797,+0.5886,0,0
MIDORIKAWA_AMPLIFIED_IN_LIVER_CANCER,55,0.7242,0.8659,0.8593,0.8613,0.6896,1.1236,+0.6238,0,0
MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN,21,-0.7764,0.5782,0.878,0.5778,0.3587,0.7075,-0.4486,0,0
