name,retention_joint,HR_unadj,p_unadj,q_unadj,HR_adj,p_adj,surviving_fraction
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_DN,0.8909,1.4633,2.6836552531094156e-05,0.00019025305713507676,1.4365,7.363625316743208e-05,0.9514
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN,0.3518,0.8032,0.005599245087078218,0.009454463015886172,0.7479,0.031238572068738167,1.3253
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP,0.9042,1.5565,9.455154502565337e-07,1.9477618275284594e-05,1.5381,6.9073018437408565e-06,0.9731
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN,0.9782,1.5805,1.652061708666763e-06,2.3802261643175482e-05,1.5309,1.1239365688096446e-05,0.9304
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_UP,0.1191,0.9563,0.5739115444377677,0.6031927456845926,1.048,0.6240251464100338,1.0484
DESERT_EXTRACELLULAR_MATRIX_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,0.8162,1.1281,0.15997014017412478,0.18723777770380512,1.1263,0.16416304568730644,0.9867
DESERT_PERIPORTAL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,0.5969,0.7901,0.0027354483424385317,0.005524532926885662,0.7034,0.011010778549800542,1.4936
DESERT_PERIVENOUS_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,1.0907,1.1422,0.12355740473102457,0.14972250220347683,1.2095,0.029648815210146267,1.4307
DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,0.8764,1.5813,4.5042164712872293e-07,1.1598357413564615e-05,1.5718,4.243047558419661e-06,0.9868
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_DN,1.147,1.1432,0.15458027293021964,0.18513683850944912,1.1834,0.07126676698422103,1.2579
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_UP,0.6755,1.2079,0.03221352620040329,0.0434680888873518,1.1716,0.07806236592590997,0.8387
HOSHIDA_LIVER_CANCER_SUBCLASS_S1,0.5983,1.2643,0.007463758146885685,0.011778042017506112,1.2251,0.03507308166745624,0.8659
