signature,status,n_genes,n_on_platform,overlap_D1,overlap_C1,overlap_study_panel,unadjusted_mean_delta,wilcoxon_p,retention_D1,retention_joint,retention_joint_shared_genes_removed,shared_gene_note
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_UP,ok,79,53,0,0,1,-0.5514,1.7964121166089366e-27,0.5308,0.5997,,no shared gene to remove
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM6,ok,55,45,0,0,0,0.1038,1.2410710964266089e-11,0.6466,0.6264,,no shared gene to remove
WENG_POR_TARGETS_LIVER_DN,ok,23,21,0,0,0,-0.6226,2.375322936018574e-33,0.6279,0.627,,no shared gene to remove
ACEVEDO_LIVER_CANCER_DN,ok,540,433,4,0,3,-0.5882,7.435059282718545e-34,0.6618,0.6312,0.6391,
BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN,ok,51,51,1,0,0,-1.2683,5.234984842528959e-35,0.6614,0.6413,0.6531,
BOYAULT_LIVER_CANCER_SUBCLASS_G12_DN,ok,15,14,0,0,0,-1.1115,1.3125913832032208e-33,0.6267,0.6422,,no shared gene to remove
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_UP,ok,239,176,0,1,0,0.1533,3.7449561338258387e-26,0.5403,0.6656,0.6445,
OHGUCHI_LIVER_HNF4A_TARGETS_UP,ok,50,40,0,0,0,-0.4195,4.947569690206986e-34,0.7893,0.6665,,no shared gene to remove
CAIRO_HEPATOBLASTOMA_DN,ok,267,261,1,0,0,-1.1252,4.223843203954511e-36,0.7188,0.6784,0.6792,
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_HYPERMETHYLATED_AND_DN,ok,21,15,0,0,0,-0.8432,3.655547318010987e-35,0.7209,0.6903,,no shared gene to remove
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP,ok,179,141,0,0,0,0.9447,1.2558901377447894e-35,0.7114,0.7075,,no shared gene to remove
KAPOSI_LIVER_CANCER_MET_UP,ok,18,17,0,0,0,0.7532,5.224025095515341e-34,0.6057,0.708,,no shared gene to remove
HOSHIDA_LIVER_CANCER_SURVIVAL_UP,ok,73,72,0,0,0,0.0929,0.0015551094237183766,1.172,0.7114,,no shared gene to remove
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN,ok,170,138,0,5,0,-0.2899,3.799906603458895e-15,1.4422,0.7116,0.733,
VILLANUEVA_LIVER_CANCER_KRT19_UP,ok,175,138,0,0,0,0.777,1.2385253813577822e-35,0.7661,0.7175,,no shared gene to remove
HOSHIDA_LIVER_CANCER_SUBCLASS_S1,ok,235,232,0,9,0,0.2219,5.277155372964945e-08,0.3988,0.7196,0.7031,
BOYAULT_LIVER_CANCER_SUBCLASS_G6_DN,ok,19,19,0,0,0,-0.3108,5.391931472635444e-16,0.8729,0.7229,,no shared gene to remove
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_HYPOMETHYLATED_AND_UP,ok,162,140,0,4,0,0.5598,2.1617766946558208e-33,0.5989,0.7358,0.7204,
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN,ok,274,231,1,1,1,-0.74,1.6132510108180226e-35,0.8105,0.7579,0.7613,
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN,ok,119,77,0,0,0,0.3137,3.074070725632871e-32,0.8533,0.7593,,no shared gene to remove
DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,ok,242,235,0,2,0,0.9816,6.428473463269972e-36,0.718,0.7598,0.7576,
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1,ok,260,206,0,1,0,0.3175,4.622354840984181e-34,0.7017,0.7751,0.7732,
LEE_LIVER_CANCER_SURVIVAL_DN,ok,180,151,0,0,0,0.8898,9.504204093371368e-36,0.7272,0.7819,,no shared gene to remove
IIZUKA_LIVER_CANCER_PROGRESSION_L1_G1_UP,ok,20,20,0,0,0,-1.0137,9.637682267853121e-36,0.85,0.7833,,no shared gene to remove
ANDERSEN_LIVER_CANCER_KRT19_UP,ok,35,30,0,0,0,0.8311,1.4233658063307517e-33,0.704,0.7836,,no shared gene to remove
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_DN,ok,25,19,0,0,0,0.5375,2.117418797990172e-26,0.6682,0.7916,,no shared gene to remove
YAMASHITA_LIVER_CANCER_STEM_CELL_UP,ok,47,45,1,1,0,0.1662,2.7105983098049433e-15,0.5717,0.7926,0.7381,
LEE_LIVER_CANCER_MYC_TGFA_UP,ok,61,59,0,0,0,0.1142,3.195679854242012e-10,0.2443,0.8045,,no shared gene to remove
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN,ok,222,127,0,1,0,0.0312,0.004237244468931276,1.149,0.8152,0.7718,
BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP,ok,53,52,0,0,0,1.1924,1.3902599660964312e-36,0.8847,0.837,,no shared gene to remove
YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP,ok,53,51,0,0,0,0.7662,6.0659388944197454e-34,0.8206,0.8378,,no shared gene to remove
CAIRO_HEPATOBLASTOMA_CLASSES_UP,ok,609,585,0,0,1,0.9262,2.1521439812751742e-36,0.887,0.8403,,no shared gene to remove
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2,ok,168,139,0,0,1,0.2649,2.608317106130541e-31,0.6739,0.8412,,no shared gene to remove
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_DN,ok,70,70,0,0,0,-0.3736,2.6451306237345498e-33,0.7023,0.8423,,no shared gene to remove
ROESSLER_LIVER_CANCER_METASTASIS_DN,ok,51,42,0,0,0,0.3329,2.061462091303166e-30,0.7335,0.8479,,no shared gene to remove
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP,ok,189,182,0,0,0,1.1102,1.7920511691769592e-36,0.8674,0.8503,,no shared gene to remove
BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP,ok,116,112,0,0,0,0.7349,1.5298406119479401e-34,0.8418,0.8685,,no shared gene to remove
BOYAULT_LIVER_CANCER_SUBCLASS_G123_UP,ok,47,43,0,0,0,1.3783,2.811463131872513e-36,0.9015,0.8807,,no shared gene to remove
NABA_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,ok,30,26,1,0,0,-0.0943,0.003011714173621609,3.1549,0.8911,1.3648,
PATIL_LIVER_CANCER,ok,660,550,0,3,2,0.9262,1.4709973696897315e-36,0.9195,0.8926,0.8911,
WANG_RECURRENT_LIVER_CANCER_UP,ok,20,18,0,0,0,0.6991,4.49829674633225e-34,0.9044,0.8942,,no shared gene to remove
MIDORIKAWA_AMPLIFIED_IN_LIVER_CANCER,ok,55,36,0,0,0,0.2792,5.559075815641764e-28,0.7975,0.9046,,no shared gene to remove
CAIRO_HEPATOBLASTOMA_UP,ok,213,202,0,1,3,0.9178,5.994336355698683e-36,0.8893,0.9054,0.9033,
BOYAULT_LIVER_CANCER_SUBCLASS_G2,ok,28,28,0,0,0,0.7167,8.135347205040129e-35,0.9359,0.9056,,no shared gene to remove
LEE_LIVER_CANCER_DENA_UP,ok,60,59,0,0,0,0.2546,5.160317404154261e-18,0.3409,0.9126,,no shared gene to remove
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3,ok,75,65,0,1,0,0.2273,4.493220610902639e-25,0.6767,0.9178,0.8998,
BOYAULT_LIVER_CANCER_SUBCLASS_G56_DN,ok,17,17,0,0,0,-0.3387,8.705252588960236e-13,1.356,0.9321,,no shared gene to remove
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_UP,ok,62,60,0,1,0,0.1678,7.354828515524546e-09,0.0834,0.9387,0.9177,
SERVITJA_LIVER_HNF1A_TARGETS_UP,ok,138,111,0,0,2,0.1775,3.097676149090614e-26,0.9625,0.9512,,no shared gene to remove
BORLAK_LIVER_CANCER_EGF_UP,ok,54,52,0,0,0,0.2251,2.8340815736772213e-15,0.4558,0.953,,no shared gene to remove
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN,ok,194,157,0,0,0,0.8929,2.5154173943855687e-35,0.9383,0.9556,,no shared gene to remove
BOYAULT_LIVER_CANCER_SUBCLASS_G5_DN,ok,28,26,0,1,0,-0.1338,0.016335778952416887,3.681,0.9647,0.9863,
HOSHIDA_LIVER_CANCER_SUBCLASS_S2,ok,115,112,0,0,2,0.6457,1.1830823047026439e-32,1.0618,0.9993,,no shared gene to remove
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP,ok,863,684,0,4,1,0.7844,1.7535321267549627e-35,0.9896,1.0045,1.002,
IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_DN,ok,25,25,0,0,1,0.7124,2.6451306237345498e-33,0.9641,1.0108,,no shared gene to remove
BOYAULT_LIVER_CANCER_SUBCLASS_G12_UP,ok,39,38,0,0,0,1.0202,4.95386916267961e-35,1.0312,1.0185,,no shared gene to remove
IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1_DN,ok,17,17,0,0,0,0.2278,6.626778180970903e-07,0.0294,1.0206,,no shared gene to remove
ACEVEDO_LIVER_CANCER_UP,ok,972,779,0,10,1,0.6297,2.8693952727087323e-34,0.963,1.0305,1.0254,
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_UP,ok,82,78,0,1,0,0.4979,4.464176293426377e-33,0.919,1.0332,1.0277,
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_DN,ok,516,450,6,4,1,0.221,6.181975311630642e-30,0.9186,1.0734,1.0073,
LEE_LIVER_CANCER_MYC_UP,ok,54,54,0,0,1,0.3148,8.492558097499504e-30,0.9606,1.0829,,no shared gene to remove
LEE_LIVER_CANCER_MYC_E2F1_UP,ok,56,55,0,2,0,0.3262,4.967273652205244e-27,0.7082,1.0954,1.0711,
SMITH_LIVER_CANCER,ok,47,46,0,0,2,0.7102,2.267463478049352e-32,1.2374,1.1624,,no shared gene to remove
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_DN,ok,36,33,0,0,0,-0.2568,1.8016910734116163e-23,1.2053,1.1706,,no shared gene to remove
CARRILLOREIXACH_MRS3_VS_LOWER_RISK_HEPATOBLASTOMA_DN,ok,168,129,0,2,0,-0.2517,1.8761848423080306e-10,2.2569,1.1775,1.2105,
DESERT_EXTRACELLULAR_MATRIX_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,ok,22,22,0,2,0,0.2765,4.9330236325384855e-12,0.6948,1.2901,1.14,
BOYAULT_LIVER_CANCER_SUBCLASS_G6_UP,ok,66,64,0,0,0,0.3443,1.186704434578035e-16,1.4353,1.3426,,no shared gene to remove
LEE_LIVER_CANCER_E2F1_UP,ok,63,62,0,1,0,0.1591,3.5411366232872594e-11,0.5618,1.3529,1.3393,
CARRILLOREIXACH_MRS3_VS_LOWER_RISK_HEPATOBLASTOMA_UP,ok,51,38,2,0,0,0.2866,4.351834339450708e-12,1.7861,1.3858,1.3577,
DESERT_PERIVENOUS_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,ok,155,155,0,0,1,0.3717,5.733972766901177e-23,1.4209,1.3935,,no shared gene to remove
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN,ok,876,506,1,0,1,-0.1397,9.848048682112098e-20,1.4147,1.4269,1.4422,
LEE_LIVER_CANCER_HEPATOBLAST,ok,16,16,0,0,0,-0.2308,1.7821687809854582e-07,2.5945,1.4834,,no shared gene to remove
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP,ok,173,143,0,1,0,0.1886,6.2851694905440945e-25,1.2423,1.5064,1.4878,
CHEN_LIVER_METABOLISM_QTL_CIS,ok,95,68,0,0,2,0.1833,6.041778560711383e-13,1.4545,1.5309,,no shared gene to remove
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP,ok,137,80,0,0,0,-0.1289,1.5381340200079278e-11,1.5587,1.7457,,no shared gene to remove
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP,ok,290,197,0,2,0,-0.13,4.2078664210653436e-11,2.054,1.8271,1.8645,
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN,ok,354,286,1,0,3,-0.0432,0.043337239000946576,2.5222,2.1331,,trimmed set has no effect to retain
CAVARD_LIVER_CANCER_MALIGNANT_VS_BENIGN,ok,32,28,2,0,0,0.1803,1.2667399068180019e-10,1.8169,2.3451,1.6952,
BREUHAHN_GROWTH_FACTOR_SIGNALING_IN_LIVER_CANCER,null_effect_excluded,15,13,0,0,0,-0.0585,0.06749868583665763,,,,no shared gene to remove
CARRILLOREIXACH_14Q32OVEREXPRESSION_IN_HEPATOBLASTOMA,not_evaluable_on_platform,48,2,0,0,0,,,,,,no shared gene to remove
IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1_UP,null_effect_excluded,15,14,0,0,0,-0.0406,0.0531339341175069,,,,no shared gene to remove
LEE_LIVER_CANCER_ACOX1_UP,null_effect_excluded,65,64,0,0,1,0.0059,0.8839033693867422,,,,no shared gene to remove
LIU_LIVER_CANCER,null_effect_excluded,35,24,2,0,0,-0.0012,0.8847800472086855,,,1.0193,untrimmed set has no effect to retain
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM5,null_effect_excluded,111,82,0,0,0,-0.0132,0.28666468366944087,,,,no shared gene to remove
WENG_POR_TARGETS_LIVER_UP,null_effect_excluded,44,39,0,0,3,-0.0278,0.6938388058991849,,,,no shared gene to remove
