signature,n_genes,unadjusted_mean_delta,retention_joint,ci95_lo,ci95_hi,ci_width,ratio_unstable,interval_entirely_below_50,interval_contains_1
LEE_LIVER_CANCER_MYC_DN,63,-0.4278,0.4061,0.2207,0.4946,0.2739,0,1,0
LEE_LIVER_CANCER_MYC_E2F1_DN,64,-0.6441,0.4988,0.3504,0.5713,0.2209,0,0,0
LEE_LIVER_CANCER_MYC_E2F1_UP,56,0.3262,1.0954,0.9366,1.2627,0.3261,0,0,1
LEE_LIVER_CANCER_MYC_TGFA_DN,65,-0.5813,0.4792,0.296,0.5775,0.2815,0,0,0
LEE_LIVER_CANCER_MYC_TGFA_UP,61,0.1142,0.8045,0.3521,1.205,0.8529,0,0,1
LEE_LIVER_CANCER_MYC_UP,54,0.3148,1.0829,0.928,1.2276,0.2996,0,0,1
LEE_LIVER_CANCER_SURVIVAL_DN,180,0.8898,0.7819,0.629,0.8832,0.2542,0,0,0
LEE_LIVER_CANCER_SURVIVAL_UP,187,-0.7202,0.3882,0.1752,0.5155,0.3403,0,0,0
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_DN,516,0.221,1.0734,0.8781,1.2489,0.3708,0,0,1
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_UP,239,0.1533,0.6656,0.4449,0.8745,0.4296,0,0,0
MIDORIKAWA_AMPLIFIED_IN_LIVER_CANCER,55,0.2792,0.9046,0.7159,1.0548,0.3389,0,0,1
MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN,21,-1.1282,0.5118,0.3346,0.6032,0.2686,0,0,0
NABA_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,30,-0.0943,0.8911,0.2913,2.9366,2.6453,0,0,1
OHGUCHI_LIVER_HNF4A_TARGETS_DN,170,-0.684,0.4753,0.335,0.5461,0.2111,0,0,0
OHGUCHI_LIVER_HNF4A_TARGETS_UP,50,-0.4195,0.6665,0.4739,0.8165,0.3426,0,0,0
PATIL_LIVER_CANCER,660,0.9262,0.8926,0.8002,0.9538,0.1536,0,0,0
ROESSLER_LIVER_CANCER_METASTASIS_DN,51,0.3329,0.8479,0.6782,0.9854,0.3072,0,0,0
ROESSLER_LIVER_CANCER_METASTASIS_UP,106,0.0559,0.247,0.012,1.1941,1.1821,0,0,1
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_DN,36,-0.2568,1.1706,0.9586,1.3602,0.4016,0,0,1
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_UP,82,0.4979,1.0332,0.9078,1.174,0.2662,0,0,1
SERVITJA_LIVER_HNF1A_TARGETS_DN,164,-0.4761,0.5312,0.4211,0.5947,0.1736,0,0,0
SERVITJA_LIVER_HNF1A_TARGETS_UP,138,0.1775,0.9512,0.7975,1.1432,0.3457,0,0,1
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1,260,0.3175,0.7751,0.6422,0.8729,0.2307,0,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2,168,0.2649,0.8412,0.7273,0.9431,0.2158,0,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3,75,0.2273,0.9178,0.7223,1.0768,0.3545,0,0,1
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM4,288,-0.4215,0.5948,0.4131,0.7093,0.2962,0,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM6,55,0.1038,0.6264,0.3585,0.8791,0.5206,0,0,0
SMITH_LIVER_CANCER,47,0.7102,1.1624,1.065,1.2816,0.2166,0,0,0
SU_LIVER,58,-0.9451,0.4346,0.2951,0.5047,0.2096,0,0,0
VILLANUEVA_LIVER_CANCER_KRT19_DN,63,-0.7729,0.5325,0.301,0.6667,0.3657,0,0,0
VILLANUEVA_LIVER_CANCER_KRT19_UP,175,0.777,0.7175,0.5235,0.8411,0.3176,0,0,0
WANG_RECURRENT_LIVER_CANCER_DN,16,-0.5923,0.2681,0.0251,0.4248,0.3997,0,1,0
WANG_RECURRENT_LIVER_CANCER_UP,20,0.6991,0.8942,0.7656,0.9802,0.2146,0,0,0
WENG_POR_TARGETS_LIVER_DN,23,-0.6226,0.627,0.4271,0.7482,0.3211,0,0,0
WOO_LIVER_CANCER_RECURRENCE_DN,78,-0.9234,0.4517,0.2585,0.5549,0.2964,0,0,0
WOO_LIVER_CANCER_RECURRENCE_UP,105,0.1949,0.0611,0.0098,0.6173,0.6075,0,0,0
YAMASHITA_LIVER_CANCER_STEM_CELL_DN,76,-0.6838,0.4232,0.2248,0.5388,0.314,0,0,0
YAMASHITA_LIVER_CANCER_STEM_CELL_UP,47,0.1662,0.7926,0.4089,1.0907,0.6818,0,0,1
YAMASHITA_LIVER_CANCER_WITH_EPCAM_DN,17,-0.5792,0.1936,0.0124,0.3444,0.332,0,1,0
YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP,53,0.7662,0.8378,0.6332,0.9711,0.3379,0,0,0
