signature,n_genes,unadjusted_mean_delta,retention_joint,ci95_lo,ci95_hi,ci_width,ratio_unstable,interval_entirely_below_50,interval_contains_1
ACEVEDO_LIVER_CANCER_DN,540,-0.5882,0.6312,0.4805,0.713,0.2325,0,0,0
ACEVEDO_LIVER_CANCER_UP,972,0.6297,1.0305,0.9495,1.1279,0.1784,0,0,1
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN,222,0.0312,0.8152,0.0702,2.1298,2.0596,0,0,1
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP,290,-0.13,1.8271,1.4196,2.5115,1.0919,0,0,0
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN,119,0.3137,0.7593,0.5915,0.8783,0.2868,0,0,0
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP,137,-0.1289,1.7457,1.4259,2.2534,0.8275,0,0,0
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN,274,-0.74,0.7579,0.6665,0.8144,0.1479,0,0,0
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP,863,0.7844,1.0045,0.9306,1.0848,0.1542,0,0,1
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN,876,-0.1397,1.4269,1.2173,1.675,0.4577,0,0,0
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN,354,-0.0432,2.1331,,,,1,0,0
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP,173,0.1886,1.5064,1.2752,1.8515,0.5763,0,0,0
ANDERSEN_LIVER_CANCER_KRT19_DN,75,-0.8406,0.4216,0.2144,0.5275,0.3131,0,0,0
ANDERSEN_LIVER_CANCER_KRT19_UP,35,0.8311,0.7836,0.5717,0.9113,0.3396,0,0,0
BORLAK_LIVER_CANCER_EGF_UP,54,0.2251,0.953,0.633,1.2396,0.6066,0,0,1
BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN,51,-1.2683,0.6413,0.4813,0.7277,0.2464,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G123_UP,47,1.3783,0.8807,0.7691,0.9539,0.1848,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G12_DN,15,-1.1115,0.6422,0.4795,0.7443,0.2648,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G12_UP,39,1.0202,1.0185,0.8971,1.1127,0.2156,0,0,1
BOYAULT_LIVER_CANCER_SUBCLASS_G1_DN,38,-0.6103,0.5904,0.2858,0.7735,0.4877,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP,116,0.7349,0.8685,0.713,0.9809,0.2679,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G2,28,0.7167,0.9056,0.7697,1.0064,0.2367,0,0,1
BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP,53,1.1924,0.837,0.7351,0.8986,0.1635,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G3_DN,52,-0.8871,0.4165,0.218,0.5279,0.3099,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP,189,1.1102,0.8503,0.7363,0.9246,0.1883,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G56_DN,17,-0.3387,0.9321,0.7258,1.1593,0.4335,0,0,1
BOYAULT_LIVER_CANCER_SUBCLASS_G5_DN,28,-0.1338,0.9647,0.4169,4.7084,4.2915,0,0,1
BOYAULT_LIVER_CANCER_SUBCLASS_G6_DN,19,-0.3108,0.7229,0.4203,0.9632,0.5429,0,0,0
BOYAULT_LIVER_CANCER_SUBCLASS_G6_UP,66,0.3443,1.3426,1.0446,1.6986,0.654,0,0,0
CAIRO_HEPATOBLASTOMA_CLASSES_DN,214,-0.6136,0.5803,0.3652,0.7095,0.3443,0,0,0
CAIRO_HEPATOBLASTOMA_CLASSES_UP,609,0.9262,0.8403,0.7062,0.9289,0.2227,0,0,0
CAIRO_HEPATOBLASTOMA_DN,267,-1.1252,0.6784,0.5373,0.751,0.2137,0,0,0
CAIRO_HEPATOBLASTOMA_POOR_SURVIVAL,16,-0.1198,0.4591,0.055,1.201,1.146,0,0,1
CAIRO_HEPATOBLASTOMA_UP,213,0.9178,0.9054,0.7926,0.974,0.1814,0,0,0
CAIRO_LIVER_DEVELOPMENT_DN,225,-0.4971,0.321,0.1759,0.3924,0.2165,0,1,0
CAIRO_LIVER_DEVELOPMENT_UP,166,0.1183,0.1699,0.0093,0.4729,0.4636,0,1,0
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_HYPERMETHYLATED_AND_DN,21,-0.8432,0.6903,0.5105,0.7851,0.2746,0,0,0
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_HYPOMETHYLATED_AND_UP,162,0.5598,0.7358,0.5763,0.8461,0.2698,0,0,0
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_UP,891,0.4634,0.593,0.3913,0.7065,0.3152,0,0,0
CARRILLOREIXACH_MRS3_VS_LOWER_RISK_HEPATOBLASTOMA_DN,168,-0.2517,1.1775,0.8065,1.7913,0.9848,0,0,1
CARRILLOREIXACH_MRS3_VS_LOWER_RISK_HEPATOBLASTOMA_UP,51,0.2866,1.3858,1.0215,1.8086,0.7871,0,0,0
CAVARD_LIVER_CANCER_MALIGNANT_VS_BENIGN,32,0.1803,2.3451,1.8599,3.0834,1.2235,0,0,0
CHEN_LIVER_METABOLISM_QTL_CIS,95,0.1833,1.5309,1.2736,1.9478,0.6742,0,0,0
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN,170,-0.2899,0.7116,0.5541,0.9099,0.3558,0,0,0
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_UP,175,-0.2819,0.3427,0.0183,0.6626,0.6443,0,0,0
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_DN,52,-0.111,0.1549,0.0157,1.9951,1.9794,0,0,1
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_UP,26,-0.4021,0.3221,0.0967,0.4667,0.37,0,1,0
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_DN,25,0.5375,0.7916,0.4937,0.9481,0.4544,0,0,0
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_UP,79,-0.5514,0.5997,0.3553,0.7238,0.3685,0,0,0
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN,179,-1.0598,0.5145,0.3338,0.6121,0.2783,0,0,0
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP,179,0.9447,0.7075,0.5076,0.8347,0.3271,0,0,0
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN,194,0.8929,0.9556,0.8735,1.0379,0.1644,0,0,1
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_UP,86,-0.6868,0.5823,0.424,0.6581,0.2341,0,0,0
DESERT_EXTRACELLULAR_MATRIX_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,22,0.2765,1.2901,1.0177,1.6224,0.6047,0,0,0
DESERT_PERIPORTAL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,159,-1.0397,0.5775,0.4145,0.6589,0.2444,0,0,0
DESERT_PERIVENOUS_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,155,0.3717,1.3935,1.2006,1.6534,0.4528,0,0,0
DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,242,0.9816,0.7598,0.5864,0.8585,0.2721,0,0,0
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_DN,70,-0.3736,0.8423,0.673,0.9414,0.2684,0,0,0
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_UP,62,0.1678,0.9387,0.6536,1.4261,0.7725,0,0,1
HOSHIDA_LIVER_CANCER_SUBCLASS_S1,235,0.2219,0.7196,0.4676,1.091,0.6234,0,0,1
HOSHIDA_LIVER_CANCER_SUBCLASS_S2,115,0.6457,0.9993,0.8015,1.1365,0.335,0,0,1
HOSHIDA_LIVER_CANCER_SUBCLASS_S3,266,-0.7596,0.4139,0.1932,0.5303,0.3371,0,0,0
HOSHIDA_LIVER_CANCER_SURVIVAL_DN,113,-0.2932,0.2981,0.0275,0.4856,0.4581,0,1,0
HOSHIDA_LIVER_CANCER_SURVIVAL_UP,73,0.0929,0.7114,0.0644,1.9492,1.8848,0,0,1
HSIAO_LIVER_SPECIFIC_GENES,247,-0.8383,0.3187,0.1828,0.3952,0.2124,0,1,0
IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_DN,25,0.7124,1.0108,0.8913,1.1368,0.2455,0,0,1
IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_UP,27,-0.4565,0.0042,0.0062,0.4725,0.4663,0,1,0
IIZUKA_LIVER_CANCER_PROGRESSION_L0_L1_DN,17,0.2278,1.0206,0.5289,1.8582,1.3293,0,0,1
IIZUKA_LIVER_CANCER_PROGRESSION_L1_G1_UP,20,-1.0137,0.7833,0.6563,0.8607,0.2044,0,0,0
KAPOSI_LIVER_CANCER_MET_UP,18,0.7532,0.708,0.5985,0.7873,0.1888,0,0,0
KIM_LIVER_CANCER_POOR_SURVIVAL_DN,43,-0.8086,0.259,0.0638,0.3674,0.3036,0,1,0
KIM_LIVER_CANCER_POOR_SURVIVAL_UP,22,0.3916,0.4032,0.0468,0.6396,0.5928,0,0,0
LEE_LIVER_CANCER_ACOX1_DN,65,-0.6232,0.4742,0.325,0.5576,0.2326,0,0,0
LEE_LIVER_CANCER_CIPROFIBRATE_DN,66,-0.5022,0.4994,0.3373,0.5779,0.2406,0,0,0
LEE_LIVER_CANCER_CIPROFIBRATE_UP,60,-0.0557,0.2658,0.017,1.6827,1.6657,0,0,1
LEE_LIVER_CANCER_DENA_DN,74,-0.6636,0.5617,0.4325,0.6358,0.2033,0,0,0
LEE_LIVER_CANCER_DENA_UP,60,0.2546,0.9126,0.7124,1.1315,0.4191,0,0,1
LEE_LIVER_CANCER_E2F1_DN,64,-0.4814,0.4287,0.2414,0.5337,0.2923,0,0,0
LEE_LIVER_CANCER_E2F1_UP,63,0.1591,1.3529,1.0736,1.7789,0.7053,0,0,0
LEE_LIVER_CANCER_HEPATOBLAST,16,-0.2308,1.4834,0.9874,2.588,1.6006,0,0,1
