gene	spearman	p	q
ELMOD2	0.643981	<5.33E-54	<9.64E-54
LRP1	0.643865	<5.33E-54	<9.64E-54
ACOT13	0.643769	<5.33E-54	<9.64E-54
CYP3A4	0.643722	<5.33E-54	<9.64E-54
EBAG9	0.643644	<5.33E-54	<9.64E-54
PDXDC1	0.643531	<5.33E-54	<9.64E-54
WAS	0.643274	<5.33E-54	<9.64E-54
PAK2	0.643134	<5.33E-54	<9.64E-54
PRCC	0.643059	<5.33E-54	<9.64E-54
MNDA	0.642966	<5.33E-54	<9.64E-54
FAM3C	0.642892	<5.33E-54	<9.64E-54
ARHGAP17	0.642751	<5.33E-54	<9.64E-54
LCLAT1	0.642569	<5.33E-54	<9.64E-54
FOLR2	0.642417	<5.33E-54	<9.64E-54
PRKCA	0.642378	<5.33E-54	<9.64E-54
GSTO1	0.642354	<5.33E-54	<9.64E-54
ART4	0.642253	<5.33E-54	<9.64E-54
HSPB6	0.642205	<5.33E-54	<9.64E-54
MTFR1	0.642077	<5.33E-54	<9.64E-54
ADSS	0.64202	<5.33E-54	<9.64E-54
PLIN5	0.641918	<5.33E-54	<9.64E-54
NEXN	0.641901	<5.33E-54	<9.64E-54
LRRFIP2	0.641862	<5.33E-54	<9.64E-54
UBXN7	0.641805	<5.33E-54	<9.64E-54
AK1	0.64173	<5.33E-54	<9.64E-54
MVK	0.641662	<5.33E-54	<9.64E-54
CD14	0.641545	<5.33E-54	<9.64E-54
SDSL	0.64128	<5.33E-54	<9.64E-54
MOB3A	0.64116	<5.33E-54	<9.64E-54
PDCL3	0.640966	<5.33E-54	<9.64E-54
CLIC6	0.640865	9.2e-20	1.64e-19
PUS3	0.640764	9.36e-20	1.67e-19
USP5	0.640718	<5.33E-54	<9.64E-54
MYO1C	0.640542	<5.33E-54	<9.64E-54
C1QBP	0.640531	9.74e-20	1.74e-19
SETDB1	0.640503	<5.33E-54	<9.64E-54
STAT2	0.640375	<5.33E-54	<9.64E-54
SLC9A9	0.640273	<5.33E-54	<9.64E-54
TMEM192	0.640265	<5.33E-54	<9.64E-54
CALML4	0.640226	<5.33E-54	<9.64E-54
GPM6A	0.6402	1.03e-19	1.84e-19
TOR1AIP1	0.640193	<5.33E-54	<9.64E-54
SLC25A46	0.640056	<5.33E-54	<9.64E-54
PHLDB1	0.639975	<5.33E-54	<9.64E-54
ST5	0.639823	<5.33E-54	<9.64E-54
ITGA1	0.639697	<5.33E-54	<9.64E-54
FGD2	0.639554	<5.33E-54	<9.64E-54
PEX11A	0.639545	<5.33E-54	<9.64E-54
MOCS3	0.63942	<5.33E-54	<9.64E-54
MDP1	0.639375	<5.33E-54	<9.64E-54
CRADD	0.639318	<5.33E-54	<9.64E-54
DNAJC7	0.639235	<5.33E-54	<9.64E-54
CORO7	0.639148	<5.33E-54	<9.64E-54
RAB11FIP1	0.639148	<5.33E-54	<9.64E-54
TBCB	0.639112	<5.33E-54	<9.64E-54
USP40	0.639049	<5.33E-54	<9.64E-54
GNL1	0.638993	<5.33E-54	<9.64E-54
CIRBP	0.638951	<5.33E-54	<9.64E-54
STAT5B	0.638927	<5.33E-54	<9.64E-54
VPS37A	0.638852	<5.33E-54	<9.64E-54
UGT1A3	0.638813	1.31e-19	2.33e-19
ADCY9	0.638811	<5.33E-54	<9.64E-54
SERPINB6	0.638581	<5.33E-54	<9.64E-54
CYB5R3	0.638515	<5.33E-54	<9.64E-54
SEC16B	0.638458	<5.33E-54	<9.64E-54
KNTC1	0.638431	<5.33E-54	<9.64E-54
BID	0.638366	<5.33E-54	<9.64E-54
PDE3B	0.638339	<5.33E-54	<9.64E-54
MVD	0.63827	<5.33E-54	<9.64E-54
ALKBH5	0.638222	<5.33E-54	<9.64E-54
NUMB	0.638184	<5.33E-54	<9.64E-54
RTN1	0.6381	<5.33E-54	<9.64E-54
GTF2F2	0.638058	<5.33E-54	<9.64E-54
IRAK4	0.638037	<5.33E-54	<9.64E-54
