gene	spearman	p	q
CLGN	0.938527	<5.33E-54	<9.64E-54
SEC14L2	0.934688	<5.33E-54	<9.64E-54
DPYS	0.930869	<5.33E-54	<9.64E-54
IGF2BP2	0.928194	<5.33E-54	<9.64E-54
GGT1	0.9224	<5.33E-54	<9.64E-54
VIL1	0.921979	<5.33E-54	<9.64E-54
GSTM3	0.920958	<5.33E-54	<9.64E-54
LGALS4	0.920098	<5.33E-54	<9.64E-54
GPX7	0.91971	<5.33E-54	<9.64E-54
ALDH1L1	0.918611	<5.33E-54	<9.64E-54
ALDH6A1	0.917748	<5.33E-54	<9.64E-54
AKR1B10	0.917626	<5.33E-54	<9.64E-54
SULT2A1	0.916823	<5.33E-54	<9.64E-54
SHMT1	0.916665	<5.33E-54	<9.64E-54
CYP4F22	0.915079	<5.33E-54	<9.64E-54
ACSL4	0.913443	<5.33E-54	<9.64E-54
LAD1	0.910473	<5.33E-54	<9.64E-54
ACSM1	0.910437	<5.33E-54	<9.64E-54
MAP2	0.909395	<5.33E-54	<9.64E-54
LGALS3	0.908323	<5.33E-54	<9.64E-54
PYCR1	0.90769	<5.33E-54	<9.64E-54
AOX1	0.906968	<5.33E-54	<9.64E-54
LPCAT1	0.906738	<5.33E-54	<9.64E-54
CAMK1D	0.90578	<5.33E-54	<9.64E-54
STK39	0.903347	<5.33E-54	<9.64E-54
SLC10A1	0.902994	<5.33E-54	<9.64E-54
GOLM1	0.902618	<5.33E-54	<9.64E-54
GPC3	0.902263	<5.33E-54	<9.64E-54
ARMCX3	0.901767	<5.33E-54	<9.64E-54
HAL	0.900496	<5.33E-54	<9.64E-54
PRG4	0.89986	<5.33E-54	<9.64E-54
APOL3	0.897188	<5.33E-54	<9.64E-54
XDH	0.896844	<5.33E-54	<9.64E-54
PHYHIPL	0.89651	<5.33E-54	<9.64E-54
BLMH	0.895146	<5.33E-54	<9.64E-54
HMGCS2	0.894125	<5.33E-54	<9.64E-54
ME1	0.893543	<5.33E-54	<9.64E-54
RFTN1	0.892742	<5.33E-54	<9.64E-54
CES1	0.892295	<5.33E-54	<9.64E-54
FBP1	0.892235	<5.33E-54	<9.64E-54
TOP2A	0.891763	<5.33E-54	<9.64E-54
ANXA13	0.891515	<5.33E-54	<9.64E-54
GPD1L	0.891199	<5.33E-54	<9.64E-54
HSD17B2	0.891139	<5.33E-54	<9.64E-54
MAT1A	0.890635	<5.33E-54	<9.64E-54
CDK6	0.890354	<5.33E-54	<9.64E-54
ARG1	0.890279	<5.33E-54	<9.64E-54
GSPT2	0.888852	<5.33E-54	<9.64E-54
CRYM	0.888808	<5.33E-54	<9.64E-54
ABAT	0.888652	<5.33E-54	<9.64E-54
EHHADH	0.88813	<5.33E-54	<9.64E-54
TTPA	0.887781	<5.33E-54	<9.64E-54
SULT1A1	0.887318	<5.33E-54	<9.64E-54
HPD	0.887294	<5.33E-54	<9.64E-54
SLC46A3	0.887282	<5.33E-54	<9.64E-54
CMBL	0.887258	<5.33E-54	<9.64E-54
ACSS3	0.886497	<5.33E-54	<9.64E-54
OTC	0.886389	<5.33E-54	<9.64E-54
ABCA6	0.88624	<5.33E-54	<9.64E-54
CPS1	0.88587	<5.33E-54	<9.64E-54
PKM	0.885362	<5.33E-54	<9.64E-54
UGT1A4	0.88502	5.33e-54	9.64e-54
MCM2	0.884285	<5.33E-54	<9.64E-54
VCAM1	0.883977	<5.33E-54	<9.64E-54
CYP8B1	0.883473	<5.33E-54	<9.64E-54
ACSL6	0.88138	<5.33E-54	<9.64E-54
GDAP1	0.881371	<5.33E-54	<9.64E-54
KPNA2	0.880765	<5.33E-54	<9.64E-54
MTHFD1	0.880672	<5.33E-54	<9.64E-54
EPS8L3	0.880484	<5.33E-54	<9.64E-54
SULT1B1	0.879493	<5.33E-54	<9.64E-54
GPD1	0.878938	<5.33E-54	<9.64E-54
TJP3	0.878911	<5.33E-54	<9.64E-54
PIGR	0.878624	<5.33E-54	<9.64E-54
LEPR	0.878532	<5.33E-54	<9.64E-54
ROBO1	0.878257	<5.33E-54	<9.64E-54
PTGR1	0.878096	<5.33E-54	<9.64E-54
FMO4	0.877893	<5.33E-54	<9.64E-54
VSNL1	0.877821	<5.33E-54	<9.64E-54
TP53I3	0.877138	<5.33E-54	<9.64E-54
SLC27A2	0.876964	<5.33E-54	<9.64E-54
CD38	0.876839	<5.33E-54	<9.64E-54
HSD11B1	0.876833	<5.33E-54	<9.64E-54
ACSM3	0.876815	<5.33E-54	<9.64E-54
RABEPK	0.876409	<5.33E-54	<9.64E-54
NT5E	0.876182	<5.33E-54	<9.64E-54
SLC35C1	0.876045	<5.33E-54	<9.64E-54
OGDHL	0.874949	<5.33E-54	<9.64E-54
AKR7A3	0.874567	<5.33E-54	<9.64E-54
DTNA	0.874278	<5.33E-54	<9.64E-54
TSPAN8	0.874119	<5.33E-54	<9.64E-54
DNAJC9	0.873734	<5.33E-54	<9.64E-54
XPNPEP2	0.873639	<5.33E-54	<9.64E-54
SCP2	0.873486	<5.33E-54	<9.64E-54
RDH16	0.873352	<5.33E-54	<9.64E-54
ALDOB	0.872967	<5.33E-54	<9.64E-54
SOD2	0.872752	<5.33E-54	<9.64E-54
IYD	0.871597	<5.33E-54	<9.64E-54
CES2	0.871361	<5.33E-54	<9.64E-54
TAP1	0.870405	<5.33E-54	<9.64E-54
PKLR	0.870298	<5.33E-54	<9.64E-54
PGRMC1	0.870053	<5.33E-54	<9.64E-54
ETNK2	0.869704	<5.33E-54	<9.64E-54
SPTBN2	0.869519	<5.33E-54	<9.64E-54
ASNS	0.869447	<5.33E-54	<9.64E-54
CYP7A1	0.869247	<5.33E-54	<9.64E-54
SEC14L4	0.868987	<5.33E-54	<9.64E-54
PLA2G4C	0.868937	<5.33E-54	<9.64E-54
CAPG	0.868743	<5.33E-54	<9.64E-54
SLC1A1	0.868707	<5.33E-54	<9.64E-54
ERAP2	0.868569	<5.33E-54	<9.64E-54
ACSM2B	0.868426	<5.33E-54	<9.64E-54
RAB34	0.868348	<5.33E-54	<9.64E-54
SLC27A5	0.868331	<5.33E-54	<9.64E-54
FMO3	0.867853	<5.33E-54	<9.64E-54
ALDH1A1	0.867835	<5.33E-54	<9.64E-54
DDX3Y	0.866915	2.47e-49	4.46e-49
CYP2C9	0.865936	<5.33E-54	<9.64E-54
SERPINB8	0.865924	<5.33E-54	<9.64E-54
ARID3A	0.864202	<5.33E-54	<9.64E-54
DAB2	0.864005	<5.33E-54	<9.64E-54
ECHDC3	0.863879	<5.33E-54	<9.64E-54
SLC1A5	0.863784	<5.33E-54	<9.64E-54
GBP2	0.863318	<5.33E-54	<9.64E-54
VNN1	0.862855	<5.33E-54	<9.64E-54
SLC12A2	0.862028	<5.33E-54	<9.64E-54
DBN1	0.861942	<5.33E-54	<9.64E-54
PPP1R1A	0.861539	<5.33E-54	<9.64E-54
ABCB1	0.861297	<5.33E-54	<9.64E-54
SEPT5	0.861252	<5.33E-54	<9.64E-54
FADS2	0.861133	<5.33E-54	<9.64E-54
ITGA2	0.861106	<5.33E-54	<9.64E-54
PCK2	0.861007	<5.33E-54	<9.64E-54
ICAM1	0.860658	<5.33E-54	<9.64E-54
NNMT	0.860264	<5.33E-54	<9.64E-54
HAO1	0.859912	<5.33E-54	<9.64E-54
ABCA8	0.859243	<5.33E-54	<9.64E-54
TBC1D4	0.85907	<5.33E-54	<9.64E-54
PPL	0.858932	<5.33E-54	<9.64E-54
TRIM22	0.858885	<5.33E-54	<9.64E-54
PLA2G16	0.858753	<5.33E-54	<9.64E-54
GLYAT	0.858616	<5.33E-54	<9.64E-54
MSI1	0.858261	2.43e-47	4.39e-47
RPS6KA1	0.858195	<5.33E-54	<9.64E-54
FGL1	0.857902	<5.33E-54	<9.64E-54
UPB1	0.857407	<5.33E-54	<9.64E-54
IRF6	0.857264	<5.33E-54	<9.64E-54
ASRGL1	0.857186	<5.33E-54	<9.64E-54
PFN2	0.857058	<5.33E-54	<9.64E-54
YARS	0.856938	<5.33E-54	<9.64E-54
SORD	0.856881	<5.33E-54	<9.64E-54
DAO	0.856875	<5.33E-54	<9.64E-54
ACSS1	0.85629	<5.33E-54	<9.64E-54
ALDH3A2	0.856099	<5.33E-54	<9.64E-54
ALDOC	0.856028	<5.33E-54	<9.64E-54
PC	0.855863	<5.33E-54	<9.64E-54
SLC13A5	0.85581	<5.33E-54	<9.64E-54
GCDH	0.855592	<5.33E-54	<9.64E-54
RCC2	0.855374	<5.33E-54	<9.64E-54
RCN1	0.85523	<5.33E-54	<9.64E-54
MYO1B	0.855117	<5.33E-54	<9.64E-54
ACOT12	0.854923	<5.33E-54	<9.64E-54
G6PD	0.854215	<5.33E-54	<9.64E-54
HMGCS1	0.854147	<5.33E-54	<9.64E-54
ARHGEF2	0.853815	<5.33E-54	<9.64E-54
ABCB4	0.853571	<5.33E-54	<9.64E-54
ACSL5	0.853523	<5.33E-54	<9.64E-54
NXN	0.853281	<5.33E-54	<9.64E-54
ACADSB	0.853015	<5.33E-54	<9.64E-54
EPHX1	0.852615	<5.33E-54	<9.64E-54
AMDHD1	0.852245	<5.33E-54	<9.64E-54
RRM2	0.85126	<5.33E-54	<9.64E-54
C11orf54	0.850836	<5.33E-54	<9.64E-54
TPD52L1	0.850352	<5.33E-54	<9.64E-54
GNMT	0.850218	<5.33E-54	<9.64E-54
KHK	0.849982	<5.33E-54	<9.64E-54
KYNU	0.849298	<5.33E-54	<9.64E-54
COBLL1	0.849275	<5.33E-54	<9.64E-54
RAB3D	0.849266	<5.33E-54	<9.64E-54
TPPP	0.849212	<5.33E-54	<9.64E-54
PSPH	0.849066	<5.33E-54	<9.64E-54
HKDC1	0.848648	<5.33E-54	<9.64E-54
EPPK1	0.848337	<5.33E-54	<9.64E-54
SPRYD4	0.847925	<5.33E-54	<9.64E-54
BAIAP2L1	0.847913	<5.33E-54	<9.64E-54
SULT1E1	0.847361	<5.33E-54	<9.64E-54
ANO1	0.847235	<5.33E-54	<9.64E-54
GIPC2	0.847137	<5.33E-54	<9.64E-54
NADK2	0.846794	<5.33E-54	<9.64E-54
TES	0.846531	<5.33E-54	<9.64E-54
MPDZ	0.846441	<5.33E-54	<9.64E-54
ARHGEF16	0.846226	<5.33E-54	<9.64E-54
MCM6	0.846223	<5.33E-54	<9.64E-54
HMGB3	0.846155	<5.33E-54	<9.64E-54
SLC15A1	0.844955	<5.33E-54	<9.64E-54
EPHX2	0.84494	<5.33E-54	<9.64E-54
ASPH	0.844749	<5.33E-54	<9.64E-54
CPM	0.844396	<5.33E-54	<9.64E-54
ICA1	0.844274	<5.33E-54	<9.64E-54
GATM	0.843638	<5.33E-54	<9.64E-54
UGT2B7	0.843638	<5.33E-54	<9.64E-54
LRRC1	0.843575	<5.33E-54	<9.64E-54
AKR1C2	0.843393	<5.33E-54	<9.64E-54
PDZK1	0.843056	<5.33E-54	<9.64E-54
DNMT1	0.843023	<5.33E-54	<9.64E-54
GLUD1	0.842751	<5.33E-54	<9.64E-54
SFN	0.842226	<5.33E-54	<9.64E-54
GYS2	0.842121	<5.33E-54	<9.64E-54
HMGN5	0.841429	<5.33E-54	<9.64E-54
PIR	0.840936	<5.33E-54	<9.64E-54
AKR1C4	0.840844	<5.33E-54	<9.64E-54
NAT8	0.840787	<5.33E-54	<9.64E-54
NAMPT	0.840593	<5.33E-54	<9.64E-54
ALDH8A1	0.840315	<5.33E-54	<9.64E-54
ASL	0.839721	<5.33E-54	<9.64E-54
STXBP1	0.839718	<5.33E-54	<9.64E-54
ABCC1	0.839626	<5.33E-54	<9.64E-54
ACSL1	0.839521	<5.33E-54	<9.64E-54
MARCKSL1	0.839497	<5.33E-54	<9.64E-54
HAGH	0.839285	<5.33E-54	<9.64E-54
CBR1	0.839193	<5.33E-54	<9.64E-54
SLC39A14	0.839067	<5.33E-54	<9.64E-54
TTC39B	0.838778	<5.33E-54	<9.64E-54
GBP5	0.837805	<5.33E-54	<9.64E-54
DEPTOR	0.837751	<5.33E-54	<9.64E-54
BDH1	0.837658	<5.33E-54	<9.64E-54
KMO	0.837596	<5.33E-54	<9.64E-54
GBE1	0.837578	<5.33E-54	<9.64E-54
SLC6A12	0.837578	<5.33E-54	<9.64E-54
ACAA2	0.837348	<5.33E-54	<9.64E-54
LZTFL1	0.836969	<5.33E-54	<9.64E-54
DHRS2	0.836569	<5.33E-54	<9.64E-54
ASB9	0.836512	<5.33E-54	<9.64E-54
IRF9	0.835915	<5.33E-54	<9.64E-54
EPDR1	0.835903	<5.33E-54	<9.64E-54
NDRG1	0.835777	<5.33E-54	<9.64E-54
TDO2	0.835727	<5.33E-54	<9.64E-54
PHYHD1	0.835536	<5.33E-54	<9.64E-54
MTTP	0.835374	<5.33E-54	<9.64E-54
SLC47A1	0.8351	<5.33E-54	<9.64E-54
CORO2A	0.834944	<5.33E-54	<9.64E-54
ACY1	0.834927	<5.33E-54	<9.64E-54
DHRS7	0.834885	<5.33E-54	<9.64E-54
PHGDH	0.83478	<5.33E-54	<9.64E-54
ARHGAP4	0.834727	<5.33E-54	<9.64E-54
BAAT	0.8347	<5.33E-54	<9.64E-54
GDA	0.834679	<5.33E-54	<9.64E-54
GCLM	0.834625	<5.33E-54	<9.64E-54
ACBD4	0.834467	<5.33E-54	<9.64E-54
CYP2A6	0.834055	<5.33E-54	<9.64E-54
ACSM5	0.834016	<5.33E-54	<9.64E-54
SLC20A2	0.833858	<5.33E-54	<9.64E-54
GSTT1	0.833675	2.49e-42	4.51e-42
CRYAB	0.83365	2.52e-42	4.56e-42
KIF4A	0.833622	<5.33E-54	<9.64E-54
ALDH7A1	0.833523	<5.33E-54	<9.64E-54
PFKM	0.833258	<5.33E-54	<9.64E-54
ANXA4	0.832559	<5.33E-54	<9.64E-54
FGD4	0.832275	<5.33E-54	<9.64E-54
CEACAM1	0.831846	<5.33E-54	<9.64E-54
HIBADH	0.831828	<5.33E-54	<9.64E-54
ABCB11	0.831732	<5.33E-54	<9.64E-54
HPGD	0.831356	<5.33E-54	<9.64E-54
FAM169A	0.831219	<5.33E-54	<9.64E-54
MARC1	0.83095	<5.33E-54	<9.64E-54
PFKFB1	0.830404	<5.33E-54	<9.64E-54
SMYD2	0.830365	<5.33E-54	<9.64E-54
ACSF2	0.830189	<5.33E-54	<9.64E-54
GLDC	0.830019	<5.33E-54	<9.64E-54
ALDH5A1	0.829717	<5.33E-54	<9.64E-54
COLEC11	0.829299	<5.33E-54	<9.64E-54
DOPEY2	0.829195	<5.33E-54	<9.64E-54
GGT5	0.82909	<5.33E-54	<9.64E-54
APBB1IP	0.828851	<5.33E-54	<9.64E-54
FTCD	0.828821	<5.33E-54	<9.64E-54
HSD17B6	0.828514	<5.33E-54	<9.64E-54
GSTA1	0.828344	<5.33E-54	<9.64E-54
SELENBP1	0.828176	<5.33E-54	<9.64E-54
GRHPR	0.82809	<5.33E-54	<9.64E-54
BAIAP2	0.827866	<5.33E-54	<9.64E-54
GOT1	0.827714	<5.33E-54	<9.64E-54
MSN	0.82769	<5.33E-54	<9.64E-54
PALM3	0.827624	<5.33E-54	<9.64E-54
ENTPD5	0.827612	<5.33E-54	<9.64E-54
PON3	0.82743	<5.33E-54	<9.64E-54
PAK1	0.827227	<5.33E-54	<9.64E-54
ADSSL1	0.827108	<5.33E-54	<9.64E-54
SULT1A2	0.826949	<5.33E-54	<9.64E-54
HSPA4L	0.826923	<5.33E-54	<9.64E-54
TRIM21	0.826902	<5.33E-54	<9.64E-54
IVD	0.826803	<5.33E-54	<9.64E-54
OASL	0.826552	<5.33E-54	<9.64E-54
SLC9A3R2	0.826466	<5.33E-54	<9.64E-54
MAP7	0.826185	<5.33E-54	<9.64E-54
APOC4	0.826075	<5.33E-54	<9.64E-54
UGT2B15	0.826021	<5.33E-54	<9.64E-54
SRC	0.825934	<5.33E-54	<9.64E-54
ADH4	0.825776	<5.33E-54	<9.64E-54
BST2	0.82566	<5.33E-54	<9.64E-54
CD36	0.825558	<5.33E-54	<9.64E-54
GLYATL1	0.825537	<5.33E-54	<9.64E-54
ECI2	0.825248	<5.33E-54	<9.64E-54
KRT23	0.825197	<5.33E-54	<9.64E-54
FKBP10	0.825161	<5.33E-54	<9.64E-54
STMN1	0.825024	<5.33E-54	<9.64E-54
BLVRA	0.825006	<5.33E-54	<9.64E-54
FABP4	0.824887	<5.33E-54	<9.64E-54
TRIM47	0.824215	<5.33E-54	<9.64E-54
CAPN5	0.824083	<5.33E-54	<9.64E-54
ANK3	0.824024	<5.33E-54	<9.64E-54
MAOB	0.824009	<5.33E-54	<9.64E-54
COMT	0.823474	<5.33E-54	<9.64E-54
GAS2	0.823439	<5.33E-54	<9.64E-54
OAT	0.823045	<5.33E-54	<9.64E-54
CGNL1	0.822985	<5.33E-54	<9.64E-54
CD8A	0.822949	<5.33E-54	<9.64E-54
RAP1GAP	0.822564	<5.33E-54	<9.64E-54
PECR	0.822053	<5.33E-54	<9.64E-54
RBP5	0.821901	<5.33E-54	<9.64E-54
LIMCH1	0.821704	<5.33E-54	<9.64E-54
HTATIP2	0.821638	<5.33E-54	<9.64E-54
MCM3	0.82151	<5.33E-54	<9.64E-54
ITPK1	0.821403	<5.33E-54	<9.64E-54
PSMB9	0.821346	<5.33E-54	<9.64E-54
MMAA	0.821319	<5.33E-54	<9.64E-54
MBOAT1	0.821301	<5.33E-54	<9.64E-54
RENBP	0.821107	<5.33E-54	<9.64E-54
ALDOA	0.821104	<5.33E-54	<9.64E-54
SLC25A12	0.821023	<5.33E-54	<9.64E-54
SERPINA11	0.820722	<5.33E-54	<9.64E-54
BAG2	0.820585	<5.33E-54	<9.64E-54
TAT	0.820211	<5.33E-54	<9.64E-54
DBT	0.819608	<5.33E-54	<9.64E-54
FAM84B	0.819471	<5.33E-54	<9.64E-54
MTUS1	0.819208	<5.33E-54	<9.64E-54
CMPK2	0.81894	<5.33E-54	<9.64E-54
SERPINH1	0.818823	<5.33E-54	<9.64E-54
PBLD	0.818599	<5.33E-54	<9.64E-54
IGF2BP3	0.818488	1.26e-39	2.28e-39
FEN1	0.818387	<5.33E-54	<9.64E-54
PAG1	0.818328	<5.33E-54	<9.64E-54
TSPAN15	0.818289	<5.33E-54	<9.64E-54
SLC27A3	0.818089	<5.33E-54	<9.64E-54
SLCO2B1	0.81788	<5.33E-54	<9.64E-54
SYTL4	0.817695	<5.33E-54	<9.64E-54
IL18	0.817492	<5.33E-54	<9.64E-54
KDELC1	0.81725	<5.33E-54	<9.64E-54
GNG7	0.817104	<5.33E-54	<9.64E-54
MVP	0.817101	<5.33E-54	<9.64E-54
CYP2C18	0.817038	<5.33E-54	<9.64E-54
MSRA	0.817029	<5.33E-54	<9.64E-54
ETFDH	0.816895	<5.33E-54	<9.64E-54
GDPD1	0.816847	<5.33E-54	<9.64E-54
GMPS	0.816832	<5.33E-54	<9.64E-54
SLC23A1	0.816706	<5.33E-54	<9.64E-54
RTP3	0.816695	<5.33E-54	<9.64E-54
CCAR2	0.816396	<5.33E-54	<9.64E-54
DCAF11	0.816363	<5.33E-54	<9.64E-54
AASS	0.816351	<5.33E-54	<9.64E-54
AGXT	0.816342	<5.33E-54	<9.64E-54
ACADL	0.816312	2.93e-39	5.29e-39
ANXA5	0.816306	<5.33E-54	<9.64E-54
UGT2B4	0.815927	<5.33E-54	<9.64E-54
DECR1	0.815453	<5.33E-54	<9.64E-54
DMGDH	0.815423	<5.33E-54	<9.64E-54
FAM120C	0.815333	<5.33E-54	<9.64E-54
DHRS1	0.815321	<5.33E-54	<9.64E-54
RNASEL	0.815214	<5.33E-54	<9.64E-54
CARS	0.815148	<5.33E-54	<9.64E-54
CHN2	0.814963	<5.33E-54	<9.64E-54
LGALS3BP	0.814912	<5.33E-54	<9.64E-54
SDS	0.814891	<5.33E-54	<9.64E-54
HGD	0.814658	<5.33E-54	<9.64E-54
PALM2	0.814432	<5.33E-54	<9.64E-54
APOL2	0.814321	<5.33E-54	<9.64E-54
CRYZ	0.814217	<5.33E-54	<9.64E-54
SRXN1	0.814076	<5.33E-54	<9.64E-54
PAFAH1B3	0.813873	<5.33E-54	<9.64E-54
CYP27A1	0.813718	<5.33E-54	<9.64E-54
RELN	0.813608	<5.33E-54	<9.64E-54
ALDH4A1	0.813491	<5.33E-54	<9.64E-54
SLC22A9	0.813276	<5.33E-54	<9.64E-54
BTN3A3	0.813008	<5.33E-54	<9.64E-54
DNAJC12	0.812885	<5.33E-54	<9.64E-54
EGFR	0.812861	<5.33E-54	<9.64E-54
BCAM	0.812706	<5.33E-54	<9.64E-54
TXNRD1	0.8127	<5.33E-54	<9.64E-54
DPP4	0.812557	<5.33E-54	<9.64E-54
GOT2	0.812428	<5.33E-54	<9.64E-54
APBA1	0.812416	<5.33E-54	<9.64E-54
STAT3	0.812318	<5.33E-54	<9.64E-54
CRYL1	0.812037	<5.33E-54	<9.64E-54
PGM5	0.812012	1.5e-38	2.71e-38
CYP4F11	0.811945	<5.33E-54	<9.64E-54
MAP3K5	0.811921	<5.33E-54	<9.64E-54
HIRIP3	0.811852	<5.33E-54	<9.64E-54
CYP2E1	0.811637	<5.33E-54	<9.64E-54
GSTM1	0.811637	1.73e-38	3.12e-38
EFHD2	0.811518	<5.33E-54	<9.64E-54
GSTK1	0.811509	<5.33E-54	<9.64E-54
AK4	0.811488	<5.33E-54	<9.64E-54
QDPR	0.811425	<5.33E-54	<9.64E-54
ABCC3	0.811345	<5.33E-54	<9.64E-54
SLC25A18	0.810631	<5.33E-54	<9.64E-54
UGDH	0.810583	<5.33E-54	<9.64E-54
MKI67	0.810533	<5.33E-54	<9.64E-54
DTD1	0.810118	<5.33E-54	<9.64E-54
OXCT1	0.809992	<5.33E-54	<9.64E-54
RPS4Y1	0.809968	<5.33E-54	<9.64E-54
AKR1C1	0.809389	<5.33E-54	<9.64E-54
GPHN	0.80927	<5.33E-54	<9.64E-54
ACADM	0.808998	<5.33E-54	<9.64E-54
ABCC4	0.808816	<5.33E-54	<9.64E-54
PTK2	0.808798	<5.33E-54	<9.64E-54
TYMP	0.808404	<5.33E-54	<9.64E-54
ALDH2	0.808213	<5.33E-54	<9.64E-54
PRKAG2	0.808204	<5.33E-54	<9.64E-54
MARCKS	0.808091	<5.33E-54	<9.64E-54
CLYBL	0.808073	<5.33E-54	<9.64E-54
IFI16	0.807926	<5.33E-54	<9.64E-54
MOCS1	0.80792	<5.33E-54	<9.64E-54
SLC22A3	0.807867	<5.33E-54	<9.64E-54
AMACR	0.807547	<5.33E-54	<9.64E-54
GLUD2	0.807544	<5.33E-54	<9.64E-54
REEP6	0.807252	<5.33E-54	<9.64E-54
MCC	0.80718	<5.33E-54	<9.64E-54
FBXO2	0.806655	<5.33E-54	<9.64E-54
PITPNC1	0.806592	<5.33E-54	<9.64E-54
VWA5A	0.806571	<5.33E-54	<9.64E-54
NMT2	0.806293	<5.33E-54	<9.64E-54
PM20D2	0.805869	<5.33E-54	<9.64E-54
AS3MT	0.805828	<5.33E-54	<9.64E-54
ETNPPL	0.805789	<5.33E-54	<9.64E-54
ABHD6	0.805631	<5.33E-54	<9.64E-54
CCDC25	0.805601	<5.33E-54	<9.64E-54
MGLL	0.805553	<5.33E-54	<9.64E-54
SORBS2	0.805428	<5.33E-54	<9.64E-54
IMPA2	0.805395	<5.33E-54	<9.64E-54
STEAP3	0.805371	<5.33E-54	<9.64E-54
AACS	0.805114	<5.33E-54	<9.64E-54
CPPED1	0.804732	<5.33E-54	<9.64E-54
CACYBP	0.804636	<5.33E-54	<9.64E-54
ESRP2	0.804633	<5.33E-54	<9.64E-54
BCAT2	0.804621	<5.33E-54	<9.64E-54
DDAH1	0.804389	<5.33E-54	<9.64E-54
PYCARD	0.804329	<5.33E-54	<9.64E-54
DDB2	0.80432	<5.33E-54	<9.64E-54
H2AFY2	0.80418	<5.33E-54	<9.64E-54
MGST1	0.804168	<5.33E-54	<9.64E-54
LGALS8	0.804105	<5.33E-54	<9.64E-54
UROC1	0.803995	<5.33E-54	<9.64E-54
IRS1	0.803983	<5.33E-54	<9.64E-54
COPZ2	0.803914	<5.33E-54	<9.64E-54
SQSTM1	0.803818	<5.33E-54	<9.64E-54
METTL7B	0.803594	<5.33E-54	<9.64E-54
MTHFD1L	0.803571	<5.33E-54	<9.64E-54
ALDH1A3	0.803475	<5.33E-54	<9.64E-54
REPS2	0.802266	<5.33E-54	<9.64E-54
PXMP2	0.802185	<5.33E-54	<9.64E-54
NNT	0.802078	<5.33E-54	<9.64E-54
ADK	0.802027	<5.33E-54	<9.64E-54
MRC2	0.801764	<5.33E-54	<9.64E-54
EMILIN1	0.801543	<5.33E-54	<9.64E-54
NLN	0.801424	<5.33E-54	<9.64E-54
ALAD	0.801215	<5.33E-54	<9.64E-54
GSTA2	0.801143	<5.33E-54	<9.64E-54
APMAP	0.801111	<5.33E-54	<9.64E-54
MYO6	0.801003	<5.33E-54	<9.64E-54
PRODH2	0.800696	<5.33E-54	<9.64E-54
CYP2C8	0.800591	<5.33E-54	<9.64E-54
HOMER2	0.800358	<5.33E-54	<9.64E-54
CES3	0.80031	<5.33E-54	<9.64E-54
PCTP	0.800152	<5.33E-54	<9.64E-54
HAAO	0.800099	<5.33E-54	<9.64E-54
PARVB	0.800018	<5.33E-54	<9.64E-54
FAS	0.79994	<5.33E-54	<9.64E-54
PDLIM3	0.799869	<5.33E-54	<9.64E-54
DHCR7	0.799854	<5.33E-54	<9.64E-54
LIPC	0.799636	<5.33E-54	<9.64E-54
CAPN2	0.799537	<5.33E-54	<9.64E-54
ADH1B	0.799457	<5.33E-54	<9.64E-54
RMDN2	0.799331	<5.33E-54	<9.64E-54
DAB2IP	0.799221	<5.33E-54	<9.64E-54
CASP1	0.79911	<5.33E-54	<9.64E-54
ACSS2	0.799057	<5.33E-54	<9.64E-54
SULT1A4	0.798934	<5.33E-54	<9.64E-54
TPD52	0.798889	<5.33E-54	<9.64E-54
CHI3L1	0.798761	<5.33E-54	<9.64E-54
RAB3IL1	0.798594	<5.33E-54	<9.64E-54
RBMS1	0.798594	<5.33E-54	<9.64E-54
CYP4F2	0.798534	<5.33E-54	<9.64E-54
CAT	0.79834	<5.33E-54	<9.64E-54
MICAL1	0.798271	<5.33E-54	<9.64E-54
TAX1BP3	0.798221	<5.33E-54	<9.64E-54
UBE2Q1	0.797958	<5.33E-54	<9.64E-54
FAM129B	0.79794	<5.33E-54	<9.64E-54
GNPDA1	0.797627	<5.33E-54	<9.64E-54
COL14A1	0.797609	<5.33E-54	<9.64E-54
SLC17A5	0.797594	<5.33E-54	<9.64E-54
TMEM65	0.797549	<5.33E-54	<9.64E-54
ACBD5	0.797373	<5.33E-54	<9.64E-54
MUT	0.797358	<5.33E-54	<9.64E-54
WDR44	0.796853	<5.33E-54	<9.64E-54
CYP39A1	0.796847	<5.33E-54	<9.64E-54
MAGED1	0.796432	<5.33E-54	<9.64E-54
BOK	0.79642	<5.33E-54	<9.64E-54
LGALS9	0.796316	<5.33E-54	<9.64E-54
EPHB4	0.796283	<5.33E-54	<9.64E-54
SIAE	0.795943	<5.33E-54	<9.64E-54
FAM213A	0.795567	<5.33E-54	<9.64E-54
TM7SF2	0.795295	<5.33E-54	<9.64E-54
LUM	0.795182	<5.33E-54	<9.64E-54
ACOX1	0.795161	<5.33E-54	<9.64E-54
SLC2A2	0.794838	<5.33E-54	<9.64E-54
PSPC1	0.79457	<5.33E-54	<9.64E-54
APOBEC3G	0.79454	<5.33E-54	<9.64E-54
CLIC1	0.79454	<5.33E-54	<9.64E-54
GPX2	0.794513	<5.33E-54	<9.64E-54
PTGIS	0.794438	<5.33E-54	<9.64E-54
PARP1	0.794378	<5.33E-54	<9.64E-54
ISYNA1	0.794152	<5.33E-54	<9.64E-54
DIO1	0.794131	<5.33E-54	<9.64E-54
